LineId,ThreadID,User,Content,EventId,EventTemplate
1,2,main,Process=65890/n,9f0807d5,Process<*><*><*>
2,2,main,====== Start Process ======/n,394f6cc4,<*> Start Process <*><*>
3,2,main,Password for USER0: /n,6e171cce,Password for USER0: <*>
4,2,main,==================== Start execute CPTS test ======================/n,82df2e25,<*> Start execute CPTS test <*><*>
5,2,main,file_path=======/report/220912.25/report/HQOS.A2005_report/HQOS.A2005_2021-01-01_16-43.irp/n,3c2ac7a1,file_path<*><*>
6,2,main,--------precondition:begin--------/n,ece7aae2,<*>precondition:begin<*><*>
7,2,main,--------precondition:end--------/n,b95e8248,<*>precondition:end<*><*>
8,2,main,mkdir: cannot create directory '/home/user/results/job1': File exists/n/n,f5a9ebe5,mkdir: cannot create directory '<*> File exists<*>
9,2,main,55 bytes of data./n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.35 ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.36 ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.27ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.04 ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.38 ms/n/n,09a1a896,55 bytes of data.<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.27ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*>
10,2,main,Creating CPTS process./n,5c4021cc,Creating CPTS process.<*>
11,2,main,patching args=/n,34eba875,patching args<*><*>
12,2,main,"Warning: Telnet is not a secure protocol, and it is recommended to use Stelnet./n/nUsername: /n",b10605c3,"Warning: Telnet is not a secure protocol, and it is recommended to use Stelnet.<*> <*>"
13,2,main,ne900156/nPassword:/n,4156e86b,ne900156<*>
