EventId,EventTemplate,Occurrences
bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),12
b6d38bd5,clusterAddMember (command <*>,2
7dc94577,<*> (command 1903),2
8d336518,boot (command <*>,67
28889bc4,wait (command <*>,66
ffd891af,halt (command <*>,3
57c1042c,bootGenvmunix  (command 4185),1
b4e25afc,Command has completed successfully,10
defee58d,Targeting <*> and <*> child of command <*>,5
2794dcdf,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],1
53666618,Targeting domains:node-D0 and nodes:node-0,1
f8d968b5,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],1
42cd5c38,Targeting domains:node-D2 and nodes:node-84,1
78fe0fa3,psu failure\ ambient<*>,5
3b219fff,Temperature (41C) exceeds warning threshold,2
97e2eb74,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,32
aedc7bac,NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,1
0d68f521,NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,1
291f390d,ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,1
3ea2d652,Fan speeds ( <*> <*> <*> <*> <*> <*> ),90
5452c51c,Command has been aborted,1
e13d082a,power/control problem,1
ec4e03ec,Link error,13
db5aa7f9,Link in reset,9
641961b9,Link ok,13
13afdb97,Link error on broadcast tree <*>,4
a8108a6e,ServerFileSystem: ServerFileSystem domain <*> is full,12
bafedd1e,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,36
75101dcd,running,162
61326117,blocked,15
b02b9741,not responding,60
8cfafe98,configured out,91
445dbb18,inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,1
c76a5e84,active,5
1793c40e,inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,1
252f035f,not-responding,1
13856549,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,1
1ee85f6c,starting,1
3b38bec1,closing,1
86d6833d,inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,1
fea08751,normal,206
7b83d3f0,warning,205
92f0ab0d,ambient<*>,292
7e85bcb6,critical,20
9050ee25,Linkerror event interval expired,394
488fc71a,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
73092f9f,boot (command 2092) Error: HALT asserted\  cannot continue,1
bde73f88,Failed subcommands 3406,1
551adf73,link errors remain current,56
1257c799,NIFF: node <*> has detected an available network connection on network <*> via interface <*>,91
