EventId,EventTemplate,Occurrences
93067dc4,onStandStepChanged <*>,260
2582008e,<*> <*> 0 4,122
252628f5,onReceive action: <*>,34
b0190ab5,processHandleBroadcastAction <*>,161
b8f897f8,flush sensor data,17
e0a83abb,getTodayTotalDetailSteps = <*>,242
a61adff4,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,1
9300ea38,calculateCaloriesWithCache <*>,241
cbcd504a,calculateAltitudeWithCache <*>,241
365967a9,REPORT : <*> <*> <*> 240,135
8b4aebf1,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,1
2f354e84,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,1
0eff0698,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,1
fa67cd9f,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,1
b79a01c7,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,1
e6723eaa,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,1
a7a2ad5b,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,1
441b824d,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,1
1703b836,<*> true,3
ffb006b5,"screen status unknown,think screen on",1
f6c76fb8,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,1
5ed39ecc,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,1
c7cd2259,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,1
ee50d75f,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,1
79972429,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,1
0dd728a7,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,1
c2864c0d,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,1
c3fa669a,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,1
2e8c2dfa,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,1
530ac75a,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,1
feee0827,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,1
6621ffba,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,1
55e1e479,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,1
e8591fbb,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,1
25fc5903,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,1
11b8eab9,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,1
3540dbd8,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,1
c5f34138,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,1
6421317f,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,1
02d29f24,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,1
