EventId,EventTemplate,Occurrences
0274f4f8,nohup: ignoring input<*>,3
64ca1ffb,<*> Start obtain and cache Kerberos ticket<*>granting ticket <*><*>,3
678301a5,Password for team7@BIGDATA: <*>,3
457d0ad2,<*> Start execute hibench test <*><*>,3
d223c8ec,mkdir: cannot create directory <*> File exists<*>,34
4f64db05,Start changing datasize ...<*>,3
370ddbe5,Creating <*> data ...<*>,5
34eba875,patching args<*><*>,32
018e820f,Parsing conf: <*>,128
ee3dfcce,probe sleep jar: <*>,32
6d9cf7fa,"ERROR, execute cmd: '( <*> node <*>list <*>> <*> <*> grep RUNNING )' timedout.<*>  STDOU<*>  STDER<*>  Please check!<*>",1
3be6345d,"Traceback (most recent call last):<*>  File ""<*> line <*>, in <module><*>    load_config(conf_root, workload_configFile, workload_folder, patching_config)<*>  File ""<*> line <*>, in load_config<*>    generate_optional_value()<*>  File ""<*> line <*>, in generate_optional_value<*>    probe_masters_slaves_hostnames()<*>  File ""<*> line <*>, in probe_masters_slaves_hostnames<*>    probe_masters_slaves_by_Yarn()<*>  File ""<*> line <*>, in probe_masters_slaves_by_Yarn<*>    assert <*>, ""Get workers from yarn<*>site.xml page failed, reason:%s\nplease set <*> and <*> manually"" % e<*> Get workers from yarn<*>site.xml page failed, reason:( <*> node <*>list <*>> <*> <*> grep RUNNING ) executed timedout for <*> seconds<*>",1
7740a8ad,please set <*> and <*> manually<*>,1
6ccf3d00,<*> line <*>: .: filename argument required<*>,1
a5319404,<*> <*> bench<*>,33
31eb8a06,hdfs rm <*>r: <*> <*>config <*> fs <*>rm <*>r <*>skipTrash hdfs:<*>,31
05d29f89,Deleted hdfs:<*>,30
dfa14b5d,Submit MapReduce Job: <*> <*>config <*> jar <*> teragen <*>D <*> <*>D <*> <*>D <*> <*> hdfs:<*>,2
dac1e54b,22<*> <*>:<*>:<*> INFO client.AHSProxy: Connecting to Application History server at <*>,38
4997967b,"22<*> <*>:<*>:<*> INFO hdfs.DFSClient: Created token for team7: HDFS_DELEGATION_TOKEN owner<*>team7@BIGDATA, renewer<*>yarn, realUser<*>, issueDate<*><*>, maxDate<*><*>, sequenceNumber<*><*>, masterKeyId<*><*> on ha<*>hdfs:cuhkcluster<*>",31
90fb6e17,22<*> <*>:<*>:<*> INFO <*> Getting new token from http:<*> renewer:rm<*>,44
2deee82e,"22<*> <*>:<*>:<*> INFO kms.KMSClientProvider: New token received: (Kind: kms<*>dt, Service: <*> Ident: (kms<*>dt owner<*>team7, renewer<*>yarn, realUser<*>, issueDate<*><*>, maxDate<*><*>, sequenceNumber<*><*>, masterKeyId<*><*>))<*>",31
d7ee0fb9,"22<*> <*>:<*>:<*> INFO security.TokenCache: Got dt for hdfs:<*> Kind: HDFS_DELEGATION_TOKEN, Service: ha<*>hdfs:cuhkcluster, Ident: (token for team7: HDFS_DELEGATION_TOKEN owner<*>team7@BIGDATA, renewer<*>yarn, realUser<*>, issueDate<*><*>, maxDate<*><*>, sequenceNumber<*><*>, masterKeyId<*><*>)<*>",31
