EventId,EventTemplate,Occurrences
56ab45ba,<*> open through proxy <*> HTTPS,954
dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",355
8de4f8f9,"<*> close, <*> bytes sent, <*> bytes <*> <*>) received, lifetime <*>",168
d91f208d,"<*> close, <*> bytes <*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>",303
3ced113c,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>",121
b1fe74a1,<*> open through proxy <*> SOCKS5,2
cb4cfc43,<*> error : A connection request was canceled before the completion.,31
bd37133d,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
c90d6a41,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code 403",14
00188feb,<*> error : Could not connect to proxy <*> - Could not resolve <*> error 11001,18
8aa52ee9,<*> error : Could not connect to proxy <*> - <*> <*> <*> <*> error <*>,28
dd7ee7d9,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code 503",3
