EventId,EventTemplate,Occurrences
932c104e,"Registered signal handlers for [TERM, HUP, INT]",1
7bb9d001,"Changing <*> acls to: yarn,curi",4
29bc3dfc,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
b923f8c3,Slf4jLogger started,1
e99571c6,Starting remoting,1
27a2a4ad,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],1
f5a68e94,Successfully started service <*> on port <*>,2
9ffef012,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
8c093329,MemoryStore started with capacity 17.7 <*>,1
6bdfeddd,Connecting to driver: spark://CoarseGrainedScheduler@<*>:48069,1
5a5c5838,Successfully registered with driver,1
508e4f7f,Starting executor ID 5 on host mesos-slave-07,1
a352752c,Server created on 40984,1
17f432d4,Trying to register BlockManager,1
1c507e44,Registered BlockManager,1
9ba7fdc2,Got assigned task <*>,305
ae0572db,Running task <*> in stage <*> (TID <*>,305
6c90e140,Started reading broadcast variable <*>,37
cb97f248,"Block <*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",149
c0edc03b,Reading broadcast variable <*> took <*> ms,37
3d6e0eb0,"Partition <*> not found, computing it",75
f1a8cca8,Input split: <*>,45
3729a2cd,"<*> is deprecated. Instead, use <*>",5
15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,375
33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,300
d7f24216,Found block <*> locally,257
a899e693,File Output Committer Algorithm version is 1,30
e967b817,Saved output of task <*> to <*>,30
aff166a3,attempt_201706092018_0024_m_000004_1026: Committed,1
773b22b5,attempt_201706092018_0024_m_000002_998: Committed,1
271d3bcf,attempt_201706092018_0024_m_000003_1012: Committed,1
3e712240,attempt_201706092018_0024_m_000001_984: Committed,1
b74f6928,attempt_201706092018_0024_m_000000_970: Committed,1
08cf3656,attempt_201706092018_0024_m_000044_1129: Committed,1
194ceeaa,attempt_201706092018_0024_m_000043_1128: Committed,1
b8ff758d,attempt_201706092018_0024_m_000040_1125: Committed,1
54dad10f,attempt_201706092018_0024_m_000042_1127: Committed,1
d1e44ab3,attempt_201706092018_0024_m_000041_1126: Committed,1
d6d0c0af,attempt_201706092018_0024_m_000083_1138: Committed,1
dce2c528,attempt_201706092018_0024_m_000084_1141: Committed,1
f5f2aa21,attempt_201706092018_0024_m_000080_1135: Committed,1
8160b3fd,attempt_201706092018_0024_m_000082_1137: Committed,1
576f7ace,attempt_201706092018_0024_m_000081_1136: Committed,1
b772fd02,attempt_201706092018_0024_m_000124_1151: Committed,1
9dfd90e6,attempt_201706092018_0024_m_000120_1145: Committed,1
d171b16f,attempt_201706092018_0024_m_000122_1147: Committed,1
2e49259a,attempt_201706092018_0024_m_000121_1146: Committed,1
b0d50a0d,attempt_201706092018_0024_m_000123_1150: Committed,1
75444caa,attempt_201706092018_0024_m_000160_1155: Committed,1
ef7fa137,attempt_201706092018_0024_m_000163_1158: Committed,1
a8867e5e,attempt_201706092018_0024_m_000164_1159: Committed,1
da932dbb,attempt_201706092018_0024_m_000162_1157: Committed,1
131e72f4,attempt_201706092018_0024_m_000161_1156: Committed,1
807fd9a5,attempt_201706092018_0025_m_000004_1199: Committed,1
97c389c6,attempt_201706092018_0025_m_000003_1198: Committed,1
9daeac9a,attempt_201706092018_0025_m_000000_1166: Committed,1
ea9c7ae1,attempt_201706092018_0025_m_000002_1194: Committed,1
44a2ba26,attempt_201706092018_0025_m_000001_1180: Committed,1
