EventId,EventTemplate,Occurrences
3caee421,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",1
60843176,"acquire lock=<*>, flags=<*>, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>",1
1fa059f9,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",199
2ad90e18,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t761}}} -- going to hide,4
ae0e6d6d,visible is <*>,3
168e62e2,mVisiblity.getValue is false,5
9042ff8a,visible is <*> gt <*>,2
e04f28a2,"release:lock=<*>, flg=<*>, tag=""View Lock"", name=<*>"", ws=null, uid=<*>, pid=<*>",1
21775720,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, <*>",52
b794132a,updateDimmedActivatedHideSensitive overlap:false,52
7bf44fc6,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
eb70a884,"release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",8
7220246f,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
3c2ee2af,cancelAutohide,15
e770cf57,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
75c3413d,Destroying surface Surface(name=SurfaceView - <*><*>.<*>) called by <*>:<*> <*>:<*> <*>:<*> <*>$Stub.onTransact:<*> <*>:<*> <*>:<*> <bottom of call stack> <bottom of call stack>,1
d570e38f,Destroying surface Surface(name=<*><*>.<*>) called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*> <*>:<*>,7
158aa667,"release:lock=<*>, flg=<*>, tag=""WindowManager"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>",1
e9aa76e5,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
748b2271,"orientation change is complete, call stopFreezingDisplayLocked",1
d3d08bbe,Screen frozen for +1s0ms due to Window{<*> u0 <*><*>.<*>},1
4bea79c0,startAnimation begin,1
d8791e4b,startAnimation end,1
5d951d08,"release:lock=<*>, flg=<*>, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=<*>, pid=<*>",1
d8d19c23,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2
dff63344,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",2
4c32608b,Application requested orientation <*> got rotation <*> which has compatible metrics,3
c68fa020,"acquire lock=<*>, flags=<*>, <*> <*> <*> uid=<*>, pid=<*>",25
78791997,shouldBlockLocation running ...,37
324966b5,shouldBlockLocation ret:false,33
c22c4fc5,getNeighboringCellInfo calling app is <*>,5
017a9c5d,"release:lock=<*>, flg=<*>, tag=""RILJ_ACK_WL"", name=<*>"", ws=null, uid=<*>, pid=<*>",7
8b8a7e54,"release:lock=<*>, flg=<*>, tag=""AudioMix"", name=audioserver"", ws=null, uid=<*>, pid=<*>",6
bcab3745,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
34b29107,HBM brightnessIn =<*>,85
b7ebad24,HBM brightnessOut =<*>,85
1b7a0525,"Animating brightness: target=<*>, rate=<*>",85
482e1e93,suspendAutohide,23
1e93f739,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down <*> canceled false,14
4f0e8a73,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
8d7445f8,resumeSuspendedAutohide,10
eeec1449,querySoundEffectsEnabled...,17
86d02085,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
a281eae7,Bad activity token: <*>@<*>,1
c939954f,<*>: <*> cannot be cast to <*>$Token,1
39397668,"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",2
ade15b9a,schedulePeek,1
33c7b245,getRingtonePlayer...,2
