EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
6265c739,<*> double-hummer alignment exceptions,109
cb2160e4,CE sym <*> at <*> mask <*>,92
150b1306,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
070de4aa,generating <*>,721
9f7cd7e7,force load/store alignment...............0,2
a553aad2,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1
4983ff07,ciod: LOGIN <*> failed: No such file or directory,18
d3e73bc3,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",18
38a7307d,data TLB error interrupt,60
473b1afe,ciod: Message code 0 is not 51 or 4294967295,1
d2c9db9b,data storage interrupt,30
a31b789f,instruction address: <*>,21
ac8a6999,data address: 0x00000002,8
74814646,machine check: i-fetch......................0,5
cc8ff6de,program interrupt: <*> <*>,21
cce08081,exception syndrome register: <*>,6
9851467f,data store interrupt caused by <*>,10
40c9c002,store operation.............................1,2
4f884f50,machine state register: 0x00002000,4
6a308701,"problem state (0=sup,1=usr).......0",3
4a855bbd,floating point instr. enabled.....1,4
f28dcd0f,auxiliary processor.........................0,5
511c1d0d,machine check enable..............0,2
23b2adc8,floating pt ex mode <*> enable......0,5
2ec4bdb1,debug interrupt enable............0,1
3971a417,byte ordering exception.....................0,2
ae9a7a4f,data address space................0,5
e19f7ea0,core configuration register: 0x00002000,7
39f84cff,program interrupt: fp cr update.............0,1
55addd29,guaranteed <*> cache block <*>,3
df88d884,program interrupt: fp cr field .............0,4
3777cdd1,icache prefetch <*>,3
198c56f7,wait state enable.................0,1
1c2a9320,critical input interrupt enable...0,1
f7c382bd,special purpose registers:,1
d7cb53a5,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,1
af999985,rts internal error,1
fe410cc8,debug wait enable.................0,2
940724cb,instruction address space.........0,1
228fcad4,disable store gathering..................0,3
147cfcff,total of <*> ddr error(s) detected and corrected,13
57138c88,"ciod: Error loading <*> invalid or missing program image, No such file or directory",21
4496b375,ciod: Error creating node map from file <*> <*> <*> <*>,3
0d02c0e2,program interrupt,3
a2335b6b,Node card is not fully functional,6
34832905,Ido chip status changed: <*> <*> <*> t=4 status=M <*> <*> <*> <*> PDT 2005,2
9d5d6232,Can not get assembly information for node card,6
46c02138,ciod: Missing or invalid fields on line 1 of node map file <*>,2
d6e5f01c,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,4
088bafb1,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1
220716fc,rts panic! - stopping execution,2
97976721,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,1
dd143159,ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,1
2fbf058f,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",1
1ae4a1e2,<*> floating point alignment exceptions,121
cec4c1e9,New ido chip inserted into the database: <*> <*> <*> <*>,3
12c46e92,NodeCard is not fully functional,1
