EventId,EventTemplate,Occurrences
9f0807d5,Process<*><*><*>,1
394f6cc4,<*> Start Process <*><*>,3
6e171cce,Password for USER0: <*>,1
82df2e25,<*> Start execute CPTS test <*><*>,3
3c2ac7a1,file_path<*><*>,2
ece7aae2,<*>precondition:begin<*><*>,1
b95e8248,<*>precondition:end<*><*>,1
f5a9ebe5,mkdir: cannot create directory '<*> File exists<*>,10
09db2e59,<*> bytes of data.<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.27ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*>,2
5c4021cc,Creating CPTS process.<*>,1
34eba875,patching args<*><*>,4
b10605c3,"Warning: Telnet is not a secure protocol, and it is recommended to use Stelnet.<*> <*>",2
4156e86b,ne900156<*>,1
f4dcc42a,"Info: The max number of VTY users is <*>, the number of current VTY users online is <*>, and total number of terminal users online is <*>.<*> The current login time is <*> <*>:<*>:<*>.<*>",1
cc3e5612,[<*> <*>:<*>:<*>.<*>] <*> <*>]: quit<*>,9
d7c9d7a0,quit<*>,9
83b77666,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display <*>,31
42d13560,display clock<*> <*>:<*>:<*><*> Zone(DefaultZoneName): UTC<*>,2
d2a304f8,"display version<*> Routing Platform Software<*> (R) software, Version <*>.<*> (<*> V800R022C10)<*> (C) <*><*><*> Technologies Co., Ltd.<*> uptime is <*> day, <*> hours, <*> minutes<*> version information:<*> version information:<*> Slot Quantity: <*><*> Slot Quantity: <*><*> version information:<*> (Master) <*>: uptime is <*> day, <*> hours, <*> minutes<*> Startup Time <*><*> <*>:<*>:<*><*> SDRAM Memory Size : <*> M bytes<*> CFCARD Memory Size : <*> M bytes<*> VMPU CR9D0MPUQ180<*>VMPU version information:<*> PCB Version : VIRTUALMPU REV A<*>",2
fd72aac3,display <*> Device status:<*> # Type Online Register Status Role Lsld Primary<*> LPU Present Registered Normal LC <*> NA<*> LPU Present Registered Normal LC <*> NA<*> LPU Present Registered Normal LC <*> NA<*> LPU Present Registered Normal MMB <*> Master<*>,2
95eca7d6,display license<*> Lisense : cfcard:<*> state : Demo<*> ticket : No ticket<*> mode : commom<*> name Item type Value Description<*> <*> <*> NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M)<*> Resource <*> NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M)<*> <*> <*> <*> NetEngine9000 Virtual System Function License<*> Fuction Yes NetEngine9000 IP Performance Measure Licence (IP FPM)<*> name (View)Resource License Command<*>Line<*> (License)active port<*>I3vpn slot <slot<*>id> card <card<*>id> port <port<*>list><*> (Slot)I3vpn capacity enhance enable<*> (License)active port<*>I3vpn slot <slot<*>id> card <card<*>id> port <port<*>list><*> (License)active port<*>I3vpn slot <slot<*>id> card <card<*>id> port <port<*>list><*>,2
f25ac104,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display patch verbose<*>,2
65c09e64,display patch verbose<*> No patch exists.<*> current state is: Idle<*> Info:<*> PatchType Count<*> <*> <*><*>,2
ca189ec8,display module<*>information<*> Module<*>information<*> Version InstallTime PackageName<*> V200R212SPH200 <*> <*>:<*>:<*> V200R212SPH<*>NE9000_<*>_<*>_RM_CMS_mir.MOD<*> V200R212SPH013 <*> <*>:<*>:<*> V200R212SPH<*>NE9000_<*>_RM_CMS_mir.MOD<*> V200R212SPH012 <*> <*>:<*>:<*> V200R212SPH<*>NE9000_<*>_<*>_RM_CMS_mir.MOD<*> V200R212SPH001 <*> <*>:<*>:<*> V200R212SPH<*>NE9000_RM_CMS_mir.MOD<*>,1
5fdc8a45,display startup<*> <*> Configured startup sysytem software: cfcard:<*> startup sysytem software: cfcard:<*> Next startup sysytem software: cfcard:<*> Startup paf file: default<*> Next Startup paf file: default<*> Startup patch package: NULL<*> Next Startup patch package: NULL<*> <*> Configured startup sysytem software: cfcard:<*> startup sysytem software: cfcard:<*> Next startup sysytem software: cfcard:<*> Startup paf file: default<*> Next Startup paf file: default<*> Startup patch package: NULL<*> Next Startup patch package: NULL<*>,2
9d986bbd,[<*> <*>:<*>:<*>.<*>] <*> <*>]: system<*>,2
72fdb662,"system<*> system view, return view with return command.<*>",2
8b5e8d76,[<*> <*>:<*>:<*>.<*>] <*> <*>]: diagnose<*>,2
627c6a55,"diagnose<*> Enter system view, return view with return command.<*>",2
02938a0d,[<*> <*>:<*>:<*>.<*>] <*> <*>]: commit<*>,2
36ae7f75,commit<*>,2
fcae8598,display data<*>channel<*>,2
d17cfc6b,display ptn<*>mode<*> ^<*> command found at '^' position<*>,2
baa0b32f,display vrcb<*> Version: <*> Version: <*> Version: vist12.<*><*> Version: VPP <*> Version: VPP <*>,2
ec580f93,[<*> <*>:<*>:<*>.<*>] <*> <*>]: return<*>,4
a22f0194,return<*>,4
cca81480,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display slot <*> chipisolate state<*>,2
c996f9a2,display slot <*> chipisolate state<*>,2
6e04f22a,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display anti<*>theft status<*>,2
1cf90887,display anti<*>theft status<*> NP state<*> TM state<*>,2
1bf347d9,version <*> <*>,2
d8f631a5,vrp_version <*> <*>,2
0af4ffbe,ne_type <*> <*>,2
c83db1f0,ipn <*> Router<*>,2
6c9b40d1,display access<*>user<*> users :<*><*> users :<*><*> users :<*><*> users :<*><*> local users :<*><*> remote users :<*><*> ready :<*><*> state :<*><*>,2
7c4c796b,"ERROR, execute cmd: '( <*> node <*>list <*>> <*> <*> grep RUNNING )' timedout.<*> STDOU<*> STDER<*>",2
7740a8ad,please set <*> and <*> manually<*>,2
0242a31f,<*> line <*>: filename argument required<*>,2
0274f4f8,nohup: ignoring input<*>,2
8f013c56,Password for user@BIGDATA: <*>,1
71949674,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display ipv6 prefix<*>,2
5e6b289b,display ipv6 prefix<*> ^<*> command found at '^' position<*>,2
40098836,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display ip pool<*>,2
ef7a02fd,display ip pool<*> address pool Statistic<*> : <*> Remote: <*> Server: <*> <*> address Statistic<*> :<*> Used :<*> Ratio :<*> <*>,2
9fda5ed8,[<*> <*>:<*>:<*>.<*>] <*> <*>]: cd<*>,2
e9cb4197,cd<*>,2
4b4a37ae,[<*> <*>:<*>:<*>.<*>] <*> <*>]: pwd<*>,2
bae091ae,pwd<*>,2
e5230f2d,[<*> <*>:<*>:<*>.<*>] <*> <*>]: system<*>view<*>,2
5fedeed7,"system<*>view<*> system view, return command.<*>",2
ba7ce6a9,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display commit list<*>,2
8174a519,display commit list<*> commitID Label User TimeStamp<*> <*> _ ne900112 <*> <*>:<*>:<*><*> <*> _ ne900112 <*> <*>:<*>:<*><*> <*> _ ne900112 <*> <*>:<*>:<*><*> <*> va1 ne900112 <*> <*>:<*>:<*><*> <*> bbb ne900112 <*> <*>:<*>:<*><*> <*> commit_label ne900112 <*> <*>:<*>:<*><*> <*> <*> ne900112 <*> <*>:<*>:<*><*> <*>,2
018e820f,Parsing conf: <*>,8
371d66ba,[<*> <*>:<*>:<*>.<*>] <*> <*>]: dir <*>,2
6c9ceacc,"dir <*> of cfcard:<*> Attr Size(Byte) Date Time FileName<*> <*>rw<*> <*>,<*> April <*> <*> <*>:<*>:<*> <*> KB total (<*>,<*>,<*> KB free)<*>",2
8e37b018,[<*> <*>:<*>:<*>.<*>] <*> <*>]: clear configuration commit label begin_rollback<*>,2
358a91b1,clear configuration commit label begin_rollback<*> ^<*> command found at '^' position<*>,2
7d32035b,[<*> <*>:<*>:<*>.<*>] <*> <*>]: rollback confuguration to file <*>,2
796d4bcc,Warning: This operation will revert configuration changes to the file <*> Continue? [Y<*>,2
e54cf2c1,[<*> <*>:<*>:<*>.<*>] <*> <*>]: Y<*>,4
274d4f6b,Y<*> Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y<*>,4
d05350ee,[<*> <*>:<*>:<*>.<*>] <*> <*>]: N<*>,2
0172e9d2,"N<*> Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y<*> rollback changes.<*> rollback result.<*> rollback finished, but there are still several differences.<*> use 'display configuration rollback result' to view the differences.<*> use 'display configuration rollback result' to view the changes.<*>",2
cf43e9c3,[<*> <*>:<*>:<*>.<*>] <*> <*>]: display configuration rollback result<*>,2
5242313a,display configuration rollback result<*> are still several differences as follow:<*> <*> <*> password <*> <*> password <*> #<*> license<*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> domain default<*> #<*>,2
2447356b,21<*> <*>:<*>:<*> INFO mapreduce.Job: Job job_<*>_<*> running in uber mode : <*><*>,2
163b042a,21<*> <*>:<*>:<*> INFO mapreduce.Job: map <*>% reduce <*>%<*>,6
6c09a9de,21<*> <*>:<*>:<*> INFO mapreduce.Job: Job job_<*>_<*> completed successfully<*>,2
