EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,311
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,314
46003790,Received block <*> of size <*> from /<*>,292
bbb51b95,Receiving block <*> src: /<*> dest: /<*>,292
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,115
32777b38,Verification succeeded for <*>,20
dba996ef,Deleting block <*> file <*>,263
4dec0816,<*> Served block <*> to /<*>,80
a333d363,<*>:Got exception while serving <*> to /<*>:,80
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,224
40651754,<*> Starting thread to transfer block <*> to <*>,1
04137b95,BLOCK* ask <*> to delete <*>,2
68a0b1bc,Received block <*> src: /<*> dest: /<*> of size 67108864,2
98012f03,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1
415a1760,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
