LineId,Time,Content,EventId,EventTemplate
1,17:50:30,nohup: ignoring input/n,0274f4f8,nohup: ignoring input<*>
2,17:50:30,====== Start obtain and cache Kerberos ticket-granting ticket ======/n,64ca1ffb,<*> Start obtain and cache Kerberos ticket<*>granting ticket <*><*>
3,17:50:30,Password for team7@BIGDATA: /n,678301a5,Password for team7@BIGDATA: <*>
4,17:50:30,==================== Start execute hibench test ======================/n,457d0ad2,<*> Start execute hibench test <*><*>
5,17:50:30,mkdir: cannot create directory '/home/team7/results': File exists/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
6,17:50:30,mkdir: cannot create directory '/home/team7/results/terasort': File exists/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
7,17:50:30,mkdir: cannot create directory '/home/team7/results/bayes': File exists/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
8,17:50:30,mkdir: cannot create directory '/home/team7/results/pagerank': File exists/n/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
9,17:50:30,Start changing datasize .../n,4f64db05,Start changing datasize ...<*>
10,17:50:30,Creating terasort data .../n,370ddbe5,Creating <*> data ...<*>
11,17:50:30,patching args=/n,34eba875,patching args<*><*>
12,17:50:30,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf/n,018e820f,Parsing conf: <*>
13,17:50:30,Parsing conf: /home/team7/HiBench3/conf/hibench.conf/n,018e820f,Parsing conf: <*>
14,17:50:30,Parsing conf: /home/team7/HiBench3/conf/spark.conf/n,018e820f,Parsing conf: <*>
15,17:50:30,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf/n,018e820f,Parsing conf: <*>
16,17:50:30,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar/n,ee3dfcce,probe sleep jar: <*>
17,17:50:31,"ERROR, execute cmd: '( /usr/hdp/3.0.1.0-187/hadoop/bin/yarn node -list 2> /dev/null | grep RUNNING )' timedout./n  STDOUT:/n/n  STDERR:/n/n  Please check!/n",acb15856,"ERROR, execute cmd: '( <*> node <*>list <*>> <*> <*> grep RUNNING )' timedout.<*> STDOU<*> STDER<*> Please check!<*>"
18,17:50:31,"Traceback (most recent call last):/n  File ""/home/team7/HiBench3/bin/functions/load_config.py"", line 713, in <module>/n    load_config(conf_root, workload_configFile, workload_folder, patching_config)/n  File ""/home/team7/HiBench3/bin/functions/load_config.py"", line 217, in load_config/n    generate_optional_value()/n  File ""/home/team7/HiBench3/bin/functions/load_config.py"", line 641, in generate_optional_value/n    probe_masters_slaves_hostnames()/n  File ""/home/team7/HiBench3/bin/functions/load_config.py"", line 577, in probe_masters_slaves_hostnames/n    probe_masters_slaves_by_Yarn()/n  File ""/home/team7/HiBench3/bin/functions/load_config.py"", line 528, in probe_masters_slaves_by_Yarn/n    assert 0, ""Get workers from yarn-site.xml page failed, reason:%s\nplease set `hibench.masters.hostnames` and `hibench.slaves.hostnames` manually"" % e/nAssertionError: Get workers from yarn-site.xml page failed, reason:( /usr/hdp/3.0.1.0-187/hadoop/bin/yarn node -list 2> /dev/null | grep RUNNING ) executed timedout for 5 seconds/n",10296da9,"Traceback (most recent call last):<*> File ""<*> line <*>, in <module><*> load_config(conf_root, workload_configFile, workload_folder, patching_config)<*> File ""<*> line <*>, in load_config<*> generate_optional_value()<*> File ""<*> line <*>, in generate_optional_value<*> probe_masters_slaves_hostnames()<*> File ""<*> line <*>, in probe_masters_slaves_hostnames<*> probe_masters_slaves_by_Yarn()<*> File ""<*> line <*>, in probe_masters_slaves_by_Yarn<*> assert <*>, ""Get workers from yarn<*>site.xml page failed, reason:%s\nplease set <*> and <*> manually"" % e<*> Get workers from yarn<*>site.xml page failed, reason:( <*> node <*>list <*>> <*> <*> grep RUNNING ) executed timedout for <*> seconds<*>"
19,17:50:31,please set `hibench.masters.hostnames` and `hibench.slaves.hostnames` manually/n,7740a8ad,please set <*> and <*> manually<*>
20,17:50:31,/home/team7/HiBench3/bin/functions/workload_functions.sh: line 38: .: filename argument required/n/n,6ccf3d00,<*> line <*>: .: filename argument required<*>
21,17:50:31,nohup: ignoring input/n,0274f4f8,nohup: ignoring input<*>
22,17:50:31,====== Start obtain and cache Kerberos ticket-granting ticket ======/n,64ca1ffb,<*> Start obtain and cache Kerberos ticket<*>granting ticket <*><*>
23,17:50:31,Password for team7@BIGDATA: /n,678301a5,Password for team7@BIGDATA: <*>
24,17:50:31,==================== Start execute hibench test ======================/n,457d0ad2,<*> Start execute hibench test <*><*>
25,17:50:31,mkdir: cannot create directory '/home/team7/results': File exists/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
26,17:50:31,mkdir: cannot create directory '/home/team7/results/terasort': File exists/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
27,17:50:31,mkdir: cannot create directory '/home/team7/results/bayes': File exists/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
28,17:50:31,mkdir: cannot create directory '/home/team7/results/pagerank': File exists/n/n,d223c8ec,mkdir: cannot create directory <*> File exists<*>
29,17:50:31,Start changing datasize .../n,4f64db05,Start changing datasize ...<*>
30,17:50:31,Creating terasort data .../n,370ddbe5,Creating <*> data ...<*>
31,17:50:32,patching args=/n,34eba875,patching args<*><*>
32,17:50:32,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf/n,018e820f,Parsing conf: <*>
33,17:50:32,Parsing conf: /home/team7/HiBench3/conf/hibench.conf/n,018e820f,Parsing conf: <*>
34,17:50:32,Parsing conf: /home/team7/HiBench3/conf/spark.conf/n,018e820f,Parsing conf: <*>
35,17:50:32,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf/n,018e820f,Parsing conf: <*>
36,17:50:32,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar/n,ee3dfcce,probe sleep jar: <*>
37,17:50:32,start HadoopPrepareTerasort bench/n,5764a193,start <*> bench<*>
38,17:50:32,hdfs rm -r: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop fs -rm -r -skipTrash hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input/n,31eb8a06,hdfs rm <*>r: <*> <*>config <*> fs <*>rm <*>r <*>skipTrash hdfs:<*>
39,17:50:32,Deleted hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input/n,05d29f89,Deleted hdfs:<*>
40,17:50:32,Submit MapReduce Job: /usr/hdp/3.0.1.0-187/hadoop/bin/hadoop --config /usr/hdp/3.0.1.0-187/hadoop/etc/hadoop jar /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-examples.jar teragen -D mapreduce.job.maps=3 -D mapreduce.job.reduces=1 -D mapreduce.job.queuename=team7 128000 hdfs://cuhkcluster/dataspace/team7/HiBench/Terasort/Input/n,dfa14b5d,Submit MapReduce Job: <*> <*>config <*> jar <*> teragen <*>D <*> <*>D <*> <*>D <*> <*> hdfs:<*>
41,17:51:32,22/11/20 17:51:32 INFO client.AHSProxy: Connecting to Application History server at manager.cuhk.com/10.26.10.201:10200/n,897eb8fa,22<*> <*>:<*>:<*> INFO <*> Connecting to Application History server at <*>
