EventId,EventTemplate,Occurrences
fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,36
b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,39
bf6f5aee,FA||Url||taskID[2019352994] dealloc,1
8f8ef862,ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
39189f14,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
1e62c609,mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,5
f713d2b6,"ARPT: <*> IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",8
13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,6
548a9986,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload,9
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
8d0bbd5d,"ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs",9
dff6d2b2,AppleCamIn::systemWakeCall - messageType = <*>,56
91eeaa24,setting hostname to <*>,7
8c3389f0,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",165
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
a097cfec,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,3
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
70e478c0,"PM response took <*> ms (54, powerd)",9
8f5dffe0,"ARPT: <*> wl0: Roamed or switched channel, reason <*> bssid <*> last RSSI <*>",4
f09b7e9d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,29
55561498,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,28
de1b8e5e,AirPort: Link Up on <*>,13
