EventId,EventTemplate,Occurrences
8c7b6197,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,2
13caa1c5,<*> WcpInitialize (wcp.dll version 0.0.0.6) called (stack <*>,6
2d8b5399,Ending TrustedInstaller initialization.,2
ddb70245,Starting the TrustedInstaller main loop.,2
70236f55,TrustedInstaller service starts successfully.,2
492269e4,SQM: Initializing online with Windows opt-in: False,2
88c7a286,SQM: Cleaning up report files older than 10 days.,2
7e5b1617,SQM: Requesting upload of all unsent reports.,2
083f8cc2,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: <*>[HRESULT = <*>- E_FAIL]",2
2a6f127b,SQM: Failed to start standard sample upload. [HRESULT = <*>- E_FAIL],2
500cb726,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",2
d13705e4,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>- E_FAIL],2
6342ae85,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
b756d24a,NonStart: Checking to ensure startup processing was not required.,2
82206fcd,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = <*>",2
af6dad2f,"<*> Creating NT transaction (seq <*> objectname [6]""(null)""",3
f25447d7,00000006 Created NT transaction (seq 1) result <*>handle <*>,2
0d5fb9ff,<*> CSI perf trace:,3
c7e0e082,"NonStart: Success, startup processing not required as expected.",2
0249909f,Startup processing thread terminated normally,2
55bc08e8,00000008 CSI Store 4991456 (<*>initialized,1
08fb5d73,Session: <*> initialized by client WindowsUpdateAgent.,608
39b783c8,Warning: Unrecognized packageExtended attribute.,280
565f9069,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],224
9c9f9113,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],224
39c8b4cc,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],18
28e57347,Read out cached package applicability for package: <*> ApplicableState: <*> <*>,558
25d623ae,Failed to create backup log cab. [HRESULT = <*>- ERROR_INVALID_FUNCTION],2
61d03dc7,Reboot mark refs incremented to: 1,1
8599e10a,Scavenge: Starts,1
dc5d5c25,"00000009@2016/9/27:20:40:53.744 CSI Transaction @<*>initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/""",1
1f1dbb91,Scavenge: Begin CSI Store,1
a9fb3d97,0000000a Performing 1 operations; 1 are not lock/unlock and follow:,1
8ac976fd,"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
5d86bd83,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,1
1d25bad0,0000000e Created NT transaction (seq 2) result <*>handle @0xb8,1
d287433e,"Scavenge: Completed, disposition: 0X1",1
2b020f61,00000010@2016/9/27:20:40:54.787 CSI Transaction @<*>destroyed,1
e9fec322,Reboot mark refs: 0,1
ecc5604d,Idle processing thread terminated normally,1
1915371f,Ending the TrustedInstaller main loop.,1
0c5a20ae,Starting TrustedInstaller finalization.,1
c5141d88,Ending TrustedInstaller finalization.,1
05f90e58,Starting TrustedInstaller initialization.,1
1850fbcc,Loading offline registry hive: <*> into registry key <*> from path <*>,8
cd7130e6,Offline image is: read-only,1
a0ab2bd7,"Disabling manifest caching, because the image is not writeable.",1
027756ce,00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,1
44a00bee,00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End,1
7aa127af,0000000a CSI Store 17159600 (<*>initialized,1
3beea5db,Session: 11152_142416105 initialized by client SPP.,1
5c8bd3df,Unloading offline registry hive: <*>,8
5a921482,0000000b CSI Store 3065408 (<*>initialized,1
