EventId,EventTemplate,Occurrences
286299e2,Notification time out: <*>,37
9879a9ab,Received connection request <*>,299
7a2ec7d0,Send worker leaving thread,262
45a3ec5d,Interrupted while waiting for message on queue,314
036ce310,Connection broken for id <*> my id = <*> error =,291
273e53f2,Interrupting SendWorker,266
20d23992,Closed socket connection for client <*> which had sessionid <*>,44
ecefe136,caught end of stream exception,37
c2a27ab9,Client attempting to <*> <*> <*> at <*>,44
37ce0325,Established session <*> with negotiated timeout <*> for client <*>,50
abe76bf8,Accepted socket connection from <*>,48
63d9783e,Unexpected Exception:,1
1bc7bc65,Connection request from old client <*>; will be dropped if server is in r-o mode,39
8dc08652,Server <*>,8
1e7a3631,Cannot open channel to <*> at election address <*>,86
61a003ea,Processed session termination for sessionid: <*>,47
f8c6d06b,Expiring session <*> timeout of <*> exceeded,40
f311a57e,******* GOODBYE <*> ********,19
00078e14,LOOKING,4
4cbab665,My election bind port: <*><*>,1
ed297523,"Have smaller server identifier, so dropping the connection: (2, 1)",1
c172d526,FOLLOWING,2
e1caa208,"New election. My id = 1, proposed zxid=0x700000000",1
a1237171,FOLLOWING - LEADER ELECTION TOOK - <*>,2
cd9a2201,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",12
8c716832,autopurge.snapRetainCount set to 3,1
d961f4e8,Server environment:java.vendor=Oracle Corporation,2
1caefedb,Revalidating client: <*>,3
ae80a1f9,"Server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 GMT",1
bed3680d,Closed socket connection for client <*> (no session established for client),4
ecf6827a,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,3
da7d60d2,tickTime set to 2000,1
0cf47064,Unexpected exception causing shutdown while sock still open,12
2a7add7e,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,1
d459c04c,Starting quorum peer,1
dfd8b545,Snapshotting: <*> to <*>,2
3204f3ff,autopurge.purgeInterval set to 0,3
5e51912e,Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,1
689b0f5e,maxSessionTimeout set to -1,1
a3e8a36b,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,1
c7ef5ae9,shutdown of request processor complete,1
9cb3def4,First is 0x0,1
a9459b27,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,1
9d86801d,Sending DIFF,1
4c5926a1,Getting a snapshot from leader,2
5bd1f197,minSessionTimeout set to -1,2
