symbol: s171
template: CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>
502,[2017-07-03_13,48,39.362458]-CCIOReporter-002.xml,,[2017-07-03_13,48,39.362458]-CCIOReporter-002.xml,
550,[2017-07-03_16,05,51.031703]-AirPortBrcm4360_Logs-003.txt,,[2017-07-03_16,05,51.031703]-AirPortBrcm4360_Logs-003.txt,
551,[2017-07-03_16,05,51.075268]-AirPortBrcm4360_Logs-005.txt,,[2017-07-03_16,05,51.075268]-AirPortBrcm4360_Logs-005.txt,
552,[2017-07-03_16,05,51.177343]-io80211Family-003.pcapng,,[2017-07-03_16,05,51.177343]-io80211Family-003.pcapng,
555,[2017-07-03_16,06,19.893324]-AirPortBrcm4360_Logs-008.txt,,[2017-07-03_16,06,19.893324]-AirPortBrcm4360_Logs-008.txt,
560,[2017-07-03_16,07,33.934533]-AirPortBrcm4360_Logs-009.txt,,[2017-07-03_16,07,33.934533]-AirPortBrcm4360_Logs-009.txt,
568,[2017-07-03_16,07,40.650186]-CCIOReporter-027.xml,,[2017-07-03_16,07,40.650186]-CCIOReporter-027.xml,
578,[2017-07-03_16,25,27.859687]-CCIOReporter-038.xml,,[2017-07-03_16,25,27.859687]-CCIOReporter-038.xml,
595,[2017-07-03_16,28,40.259618]-AirPortBrcm4360_Logs-055.txt,,[2017-07-03_16,28,40.259618]-AirPortBrcm4360_Logs-055.txt,
601,[2017-07-03_16,29,09.137954]-CCIOReporter-062.xml,,[2017-07-03_16,29,09.137954]-CCIOReporter-062.xml,
651,[2017-07-03_18,57,12.221233]-AirPortBrcm4360_Logs-005.txt,,[2017-07-03_18,57,12.221233]-AirPortBrcm4360_Logs-005.txt,
902,[2017-07-04_11,29,09.994819]-CCIOReporter-005.xml,,[2017-07-04_11,29,09.994819]-CCIOReporter-005.xml,
903,[2017-07-04_11,29,10.144779]-AirPortBrcm4360_Logs-008.txt,,[2017-07-04_11,29,10.144779]-AirPortBrcm4360_Logs-008.txt,
1209,[2017-07-05_11,01,55.983179]-AirPortBrcm4360_Logs-006.txt,,[2017-07-05_11,01,55.983179]-AirPortBrcm4360_Logs-006.txt,
1238,[2017-07-05_14,04,25.118445]-AirPortBrcm4360_Logs-040.txt,,[2017-07-05_14,04,25.118445]-AirPortBrcm4360_Logs-040.txt,
1268,[2017-07-05_16,05,05.078442]-io80211Family-008.pcapng,,[2017-07-05_16,05,05.078442]-io80211Family-008.pcapng,
1321,[2017-07-05_19,00,43.154864]-CCIOReporter-007.xml,,[2017-07-05_19,00,43.154864]-CCIOReporter-007.xml,
1430,[2017-07-06_12,00,58.629029]-AirPortBrcm4360_Logs-007.txt,,[2017-07-06_12,00,58.629029]-AirPortBrcm4360_Logs-007.txt,
1438,[2017-07-06_12,03,00.133649]-CCIOReporter-028.xml,,[2017-07-06_12,03,00.133649]-CCIOReporter-028.xml,
1441,[2017-07-06_12,03,02.449748]-AirPortBrcm4360_Logs-037.txt,,[2017-07-06_12,03,02.449748]-AirPortBrcm4360_Logs-037.txt,
1448,[2017-07-06_12,03,12.289973]-CCIOReporter-041.xml,,[2017-07-06_12,03,12.289973]-CCIOReporter-041.xml,
1472,[2017-07-06_14,15,59.644892]-CCIOReporter-007.xml,,[2017-07-06_14,15,59.644892]-CCIOReporter-007.xml,
1473,[2017-07-06_14,15,59.726497]-io80211Family-008.pcapng,,[2017-07-06_14,15,59.726497]-io80211Family-008.pcapng,
1662,[2017-07-07_07,01,14.472939]-CCIOReporter-002.xml,,[2017-07-07_07,01,14.472939]-CCIOReporter-002.xml,
1734,[2017-07-07_12,24,31.376032]-AirPortBrcm4360_Logs-011.txt,,[2017-07-07_12,24,31.376032]-AirPortBrcm4360_Logs-011.txt,
1745,[2017-07-07_13,38,23.338868]-AirPortBrcm4360_Logs-013.txt,,[2017-07-07_13,38,23.338868]-AirPortBrcm4360_Logs-013.txt,
1748,[2017-07-07_13,38,24.371339]-CCIOReporter-019.xml,,[2017-07-07_13,38,24.371339]-CCIOReporter-019.xml,
1756,[2017-07-07_13,40,35.857095]-AirPortBrcm4360_Logs-022.txt,,[2017-07-07_13,40,35.857095]-AirPortBrcm4360_Logs-022.txt,
1757,[2017-07-07_13,40,35.961495]-io80211Family-023.pcapng,,[2017-07-07_13,40,35.961495]-io80211Family-023.pcapng,
1773,[2017-07-07_13,42,34.831310]-AirPortBrcm4360_Logs-041.txt,,[2017-07-07_13,42,34.831310]-AirPortBrcm4360_Logs-041.txt,
1931,[2017-07-08_02,32,46.787931]-AirPortBrcm4360_Logs-004.txt,,[2017-07-08_02,32,46.787931]-AirPortBrcm4360_Logs-004.txt,
