s1, 1, Notification time out: <*>
s2, 2, Received connection request <*>
s3, 3, Send worker leaving thread
s4, 4, Interrupted while waiting for message on queue
s3, 5, Send worker leaving thread
s5, 6, Connection broken for id <*> my id <?> <*> error <?>
s2, 7, Received connection request <*>
s5, 8, Connection broken for id <*> my id <?> <*> error <?>
s4, 9, Interrupted while waiting for message on queue
s3, 10, Send worker leaving thread
s3, 11, Send worker leaving thread
s5, 12, Connection broken for id <*> my id <?> <*> error <?>
s2, 13, Received connection request <*>
s5, 14, Connection broken for id <*> my id <?> <*> error <?>
s4, 15, Interrupted while waiting for message on queue
s6, 16, Interrupting SendWorker
s3, 17, Send worker leaving thread
s6, 18, Interrupting SendWorker
s4, 19, Interrupted while waiting for message on queue
s2, 20, Received connection request <*>
s6, 21, Interrupting SendWorker
s3, 22, Send worker leaving thread
s4, 23, Interrupted while waiting for message on queue
s6, 24, Interrupting SendWorker
s3, 25, Send worker leaving thread
s4, 26, Interrupted while waiting for message on queue
s2, 27, Received connection request <*>
s4, 28, Interrupted while waiting for message on queue
s4, 29, Interrupted while waiting for message on queue
s6, 30, Interrupting SendWorker
s4, 31, Interrupted while waiting for message on queue
s5, 32, Connection broken for id <*> my id <?> <*> error <?>
s4, 33, Interrupted while waiting for message on queue
s3, 34, Send worker leaving thread
s5, 35, Connection broken for id <*> my id <?> <*> error <?>
s2, 36, Received connection request <*>
s4, 37, Interrupted while waiting for message on queue
s4, 38, Interrupted while waiting for message on queue
s4, 39, Interrupted while waiting for message on queue
s5, 40, Connection broken for id <*> my id <?> <*> error <?>
s4, 41, Interrupted while waiting for message on queue
s4, 42, Interrupted while waiting for message on queue
s2, 43, Received connection request <*>
s6, 44, Interrupting SendWorker
s4, 45, Interrupted while waiting for message on queue
s6, 46, Interrupting SendWorker
s6, 47, Interrupting SendWorker
s2, 48, Received connection request <*>
s4, 49, Interrupted while waiting for message on queue
s4, 50, Interrupted while waiting for message on queue
s3, 51, Send worker leaving thread
s6, 52, Interrupting SendWorker
s6, 53, Interrupting SendWorker
s4, 54, Interrupted while waiting for message on queue
s6, 55, Interrupting SendWorker
s2, 56, Received connection request <*>
s2, 57, Received connection request <*>
s4, 58, Interrupted while waiting for message on queue
s5, 59, Connection broken for id <*> my id <?> <*> error <?>
s6, 60, Interrupting SendWorker
s6, 61, Interrupting SendWorker
s5, 62, Connection broken for id <*> my id <?> <*> error <?>
s3, 63, Send worker leaving thread
