EventId,EventTemplate,Occurrences
0cdf4584,printFreezingDisplayLogsopening app wtoken AppWindowToken{ token Token{ ActivityRecord{ u0 /. t761}}} allDrawn false startingDisplayed false startingMoved false isRelaunching false,1
26ec15ea,Taking screenshot from Surface with crop [Rect( - )] width [] height [] minLayer [] maxLayer [] inRotation [false] rot [],4
d05f71c2,onInterceptTouchEvent MotionEvent { action <*> actionButton id[] x[] . y[] . toolType[] TOOL_TYPE_FINGER buttonState metaState flags edgeFlags pointerCount historySize eventTime downTime deviceId source } mBlockTouches false,4
3c2ee2af,cancelAutohide,15
482e1e93,suspendAutohide,23
8d7445f8,resumeSuspendedAutohide,10
eeec1449,querySoundEffectsEnabled...,17
ade15b9a,schedulePeek,1
33c7b245,getRingtonePlayer...,2
f02115d0,onExpandingStarted,2
cd7563b4,onTrackingStarted,1
b5721111,onExpandingFinished,2
b4f3261c,setLightsOn(true),181
99e75217,removeNotificationChildren,12
fbb3c9bb,closeQs,12
18084d2f,instantCollapse,9
a6b9ef39,isMusicActive...,12
219ced65,isBluetoothA2dpOn...,1
ce34163a,isBluetoothScoOn...,1
eadc277d,getMode...,1
3e03b5e1,handleTimeUpdate,3
13d3f523,unregisterAudioFocusListener...,1
504c331a,abandonAudioFocus,1
99718fbd,getRingerMode...,3
3a97dc6f,mHeadsUpExistenceChangedRunnable,4
d639dd08,isWiredHeadsetOn...,1
e23c2601,handleBatteryUpdate,1
9cc17980,<*> <*> false,98
4840dfb2,visible is gt,2
c2527d64,notifyUiVisibilityChanged vis SystemUiVisibility,19
78791997,shouldBlockLocation running ...,37
62cc0214,interceptKeyBeforeQueueing key result,14
9129c162,<*> <*> true,22
9b0a9baa,state.clipTopAmount - i,1
dac08128,logNotificationVisibilityChanges runInThread start,6
eda14053,logNotificationVisibilityChanges runInThread over,6
c60903ce,applyOptionsLocked Unknown animationType,2
0b19bd95,updateNotificationShade total active,13
e70a68a3,getRecentTasks topActivity ComponentInfo{},14
cec3dce8,cancelNotification index -,20
69ce71b1,setWiredDeviceConnectionState type state,1
fac263ac,ActivityManagerService attachApplication callingPid,4
e2c84207,Pid MediaPlayer destructor,1
40baeceb,<*> <*> |||null|,4
32a63978,battery changed pluggedType,1
3ff755b5,getNeighboringCellInfo calling app is,5
82d30237,"<*> suspend blocker ""PowerManagerService.WakeLocks"".",66
786868b2,Animating brightness target rate,85
c7b04905,Bad activity token @,1
5aed32fe,updateLightsLocked turn off notificationLight,6
e8951921,<*> <*> in <*>,6
bf46c5eb,[PhoneIntfMgr] getDataEnabled subId phoneId,1
d2db1ed7,cancelNotification cancelNotificationLocked callingUid callingPid,2
f10de69c,getRecentTasks num flags totalTasks,14
96d1d30e,setWiredDeviceConnectionState type - state,1
e37e8fbc,cleanUpApplicationRecordLocked pid restart false,6
ea5e5c34,cleanUpApplicationRecordLocked reset pid euid,6
b0fb9415,Received TIME_TICK alarm; rescheduling,3
1fb1f0bd,ACTIVITY check resid size,2
ad9d5214,ACTION_BATTERY_CHANGED AMP ; Volt,1
9eb1117b,userActivityNoUpdateLocked eventTime event flags uid,69
7284b1af,rotationForOrientationLw(orient last ); user USER_ROTATION_LOCKED,2
11503b9e,cannot be cast to $Token,1
0f5e3ea1,onTouchEvent x . y .,2
d8733cc6,[PhoneIntfMgr] getDataEnabled subId retVal true,1
d0656273,ActivityRecord info ActivityInfo{ } euid,4
aa727d38,[HSM] stayAwake false uid pid,1
773cf0db,Marking notification as seen |||null|,2
3c958933,ChargingSpeed Wattage - ST -->,1
14361819,orientation change is complete call stopFreezingDisplayLocked,1
