EventId,EventTemplate,Occurrences
e727c5b7,generating,721
e83903f3,ciod Error reading message prefix on CioStream socket to 172.16.96.116 <*> <*> <*> <*> <*>,12
6695c68c,ciod <*> <*> <*> <*> <*> <*> <*> at line <*> of node map file <*>,2
b0aa28ec,ciod Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116 <*> Link has been severed,9
dedf14b3,Ido chip status changed FF F2 9F <*> <*> <*> 00 0D 60 <*> <*> <*> ip <*> v <*> t <*> status M <*> <*> <*> <*> <*> <*> PDT 2005,5
4dbe9608,Kernel detected <*> integer alignment exceptions <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*>,9
0f59290d,Node card status no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,5
cebad416,Node card status ALERT 0 ALERT 1 ALERT 2 ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,1
9f7cd7e7,force load/store alignment...............0,2
121941c0,data <*> <*>,43
e80db302,instruction address <*>,22
ce2b6cdc,machine check <*>,7
3971a417,byte ordering exception.....................0,2
3777cdd1,icache prefetch <*>,3
198c56f7,wait state enable.................0,1
d177966a,special purpose registers,1
af999985,rts internal error,1
228fcad4,disable store gathering..................0,3
64d56eed,minus normalized number..................0,1
6265c739,<*> double-hummer alignment exceptions,109
38a7307d,data TLB error interrupt,60
3aa5dbe1,program interrupt illegal <*>,8
8e70faf1,program interrupt privileged instruction...0,5
498ab566,program interrupt trap instruction.........0,1
c02d3e74,program interrupt imprecise exception......0,5
4a855bbd,floating point instr. enabled.....1,4
eb11cd8b,program interrupt unimplemented operation..0,2
1c2a9320,critical input interrupt enable...0,1
1b700d02,iar <*> dear <*>,208
8c50bda2,Machine State Register 0x0002f900,1
3aa50e45,instruction cache parity error corrected,42
445c7f8a,program interrupt fp cr update.............0,1
55addd29,guaranteed <*> cache block <*>,3
220716fc,rts panic! - stopping execution,2
1ae4a1e2,<*> floating point alignment exceptions,121
12c46e92,NodeCard is not fully functional,1
86c2ad01,fpr29 0xffffffff ffffffff ffffffff ffffffff,1
9851467f,data store interrupt caused by <*>,10
3c7b4c4c,problem state (0 sup 1 usr).......0,3
23b2adc8,floating pt ex mode <*> enable......0,5
09f34f4a,program interrupt fp cr field .............0,4
a2335b6b,Node card is not fully functional,6
82501385,rts kernel terminated for reason <*>,6
fbd8dc0d,Lustre mount FAILED <*> <*> <*>,11
ea3efa0b,suppressing further interrupts of same type,2
de1d56e7,dbcr0 0x00000000 dbsr 0x00000000 ccr0 0x40002000,1
cb2160e4,CE sym <*> at <*> mask <*>,92
f848d6c7,size of scratchpad portion of L3.........0 (0M),1
9da88f7b,lr 00004ed0 cr 28244842 xer 20000002 ctr 00086000,1
147cfcff,total of <*> ddr error(s) detected and corrected,13
0940c2d0,r24 0x0ffea4c8 r25 0x00000003 r26 0x0000000f r27 0xffffd000,1
f3eed4bf,data cache search parity error detected. attempting to correct,6
e8a1ed5d,3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,1
e00e299a,NFS Mount failed on <*> slept 15 seconds retrying (1),2
