LineId,ThreadID,User,Content,EventId,EventTemplate,ParameterList
1,2,main,Process=65890/n,b6ec7abe,Process,[]
2,2,main,====== Start Process ======/n,2f565ae7,Start Process,[]
3,2,main,Password for USER0: /n,87da0faa,Password for <*>,['USER0: /n']
4,2,main,==================== Start execute CPTS test ======================/n,efbf959f,Start execute CPTS test,[]
5,2,main,file_path=======/report/220912.25/report/HQOS.A2005_report/HQOS.A2005_2021-01-01_16-43.irp/n,97fd815a,file_path,[]
6,2,main,--------precondition:begin--------/n,bb8ab6a4,precondition <*>,[]
7,2,main,--------precondition:end--------/n,bb8ab6a4,precondition <*>,[]
8,2,main,mkdir: cannot create directory '/home/user/results/job1': File exists/n/n,41527ab9,mkdir cannot create directory ' File exists,[]
9,2,main,55 bytes of data./n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.35 ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.36 ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.27ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.04 ms/n32 bytes from 6.35.100.35: icmp_seq=1 ttl=502 time=1.38 ms/n/n,4abbf4a1,<*> bytes of data. bytes from icmp_seq ttl time. ms bytes from icmp_seq ttl time. ms bytes from icmp_seq ttl time.27ms bytes from icmp_seq ttl time. ms bytes from icmp_seq ttl time. ms,[]
10,2,main,Creating CPTS process./n,65979e98,Creating CPTS process.,[]
11,2,main,patching args=/n,02a79fe4,patching args,[]
12,2,main,"Warning: Telnet is not a secure protocol, and it is recommended to use Stelnet./n/nUsername: /n",528ddc28,Warning Telnet is not a secure protocol and it is recommended to use Stelnet.,[]
13,2,main,ne900156/nPassword:/n,d4f91763,ne,[]
14,2,main,"Info: The max number of VTY users is 16, the number of current VTY users online is 5, and total number of terminal users online is 3./n The current login time is 2019-01-11 15:00:13./n/n",687aba8c,Info The max number of VTY users is the number of current VTY users online is and total number of terminal users online is . The current login time is .,[]
15,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: quit/n,e4ed21c7,[ .] ] <*>,[]
16,2,main,quit/n/n,dbd73c2b,quit,[]
17,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display clock/n,0015a174,[ .] ] <*> <*>,[]
18,2,main,display clock/n2011-05-13 15:00:13/nTuesday/nTime Zone(DefaultZoneName): UTC/n/n,159a9742,display clock Zone(DefaultZoneName) UTC,[]
19,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display version/n,0015a174,[ .] ] <*> <*>,[]
20,2,main,"display version/nVersatile Routing Platform Software/nVRP (R) software, Version 6.220 (NE9000-20-LS V800R022C10)/nCopyright (C) 2011-2021 Technologies Co., Ltd./nNE9000-20 uptime is 1 day, 8 hours, 30 minutes/n/nNE9000-20-LS version information:/n---------------------------------------/nBKP version information:/nVMPU Slot Quantity: 3/nLPU Slot Quantity: 30/n---------------------------------------/nVMPU version information:/n/nVMPU (Master) 22: uptime is 0 day, 9 hours, 42 minutes/n Startup Time 2021/08/12 05:14:21/n SDRAM Memory Size :  12299 M bytes/n CFCARD Memory Size : 5125 M bytes/n VMPU CR9D0MPUQ180-VMPU version information:/n PCB  Version : VIRTUALMPU REV A/n/n",58d915c2,display version Routing Platform Software (R) software Version . ( V800R022C10) (C) Technologies Co. Ltd. uptime is day hours minutes version information version information Slot Quantity Slot Quantity version information (Master) uptime is day hours minutes Startup Time SDRAM Memory Size M bytes CFCARD Memory Size M bytes VMPU CR9D0MPUQ180VMPU version information PCB Version VIRTUALMPU REV A,[]
21,2,main,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display device/n,0015a174,[ .] ] <*> <*>,[]
