EventId,EventTemplate,Occurrences
925162ee,dir of cfcard Attr Size(Byte) Date Time FileName rw April KB total ( KB free),2
906da756,display commit list commitID Label User TimeStamp _ ne900112 _ ne900112 _ ne900112 va1 ne900112 bbb ne900112 commit_label ne900112 ne900112,2
e9f55323,The max number of VTY users is the number of current VTY users online is and total number of terminal users online is . The current login time is .,1
687aba8c,Info The max number of VTY users is the number of current VTY users online is and total number of terminal users online is . The current login time is .,1
4abbf4a1,<*> bytes of data. bytes from icmp_seq ttl time. ms bytes from icmp_seq ttl time. ms bytes from icmp_seq ttl time.27ms bytes from icmp_seq ttl time. ms bytes from icmp_seq ttl time. ms,2
d74d333e,display <*> Device status # Type Online Register Status Role Lsld Primary LPU Present Registered Normal LC NA LPU Present Registered Normal LC NA LPU Present Registered Normal LC NA LPU Present Registered Normal MMB Master,2
8728a1fb,N Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y rollback changes. rollback result. rollback finished but there are still several differences. use 'display configuration rollback result' to view the differences. use 'display configuration rollback result' to view the changes.,2
475d5703,display ip routingtable allroutes Flags Rrelay Ddownload to fib Tto vpninstanse Bblack hole route Table _public_ Destinations Routes Proto Pre Cost Flags NextHop Interface Direct D GigabitEthernet1 Direct D GigabitEthernet1 Direct D GigabitEthernet1 Direct D InLoopBack1 Direct D InLoopBack1 Direct D InLoopBack1 Table _public_,2
58d915c2,display version Routing Platform Software (R) software Version . ( V800R022C10) (C) Technologies Co. Ltd. uptime is day hours minutes version information version information Slot Quantity Slot Quantity version information (Master) uptime is day hours minutes Startup Time SDRAM Memory Size M bytes CFCARD Memory Size M bytes VMPU CR9D0MPUQ180VMPU version information PCB Version VIRTUALMPU REV A,2
a116ae26,display startup Configured startup sysytem software cfcard startup sysytem software cfcard Next startup sysytem software cfcard Startup paf file default Next Startup paf file default Startup patch package NULL Next Startup patch package NULL Configured startup sysytem software cfcard startup sysytem software cfcard Next startup sysytem software cfcard Startup paf file default Next Startup paf file default Startup patch package NULL Next Startup patch package NULL,2
210afada,display license Lisense cfcard state Demo ticket No ticket mode commom name Item type Value Description NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M) Resource NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M) NetEngine9000 Virtual System Function License Fuction Yes NetEngine9000 IP Performance Measure Licence (IP FPM) name (View)Resource License CommandLine (License)active portI3vpn slot <slotid> card <cardid> port <portlist> (Slot)I3vpn capacity enhance enable (License)active portI3vpn slot <slotid> card <cardid> port <portlist> (License)active portI3vpn slot <slotid> card <cardid> port <portlist>,2
88260111,display configuration rollback result are still several differences as follow <*> <*> password <*> <*> password <*> # license active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot active networkslice flexchannel slot # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet5 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # interface GigabitEthernet4 undo dcn # domain default #,2
3a177f29,display currentconfiguration Last configuration was updated at Last configuration was saved at <*> neid templatedefault templatedefault templatedefault templatedefault templatedefault portbasic slot card portevpn slot card portvxlan slot card portsrv slot card <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn GigabitEthernet6 shutdown dcn GigabitEthernet7 shutdown dcn GigabitEthernet8 shutdown dcn GigabitEthernet9 shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn 29GE8 shutdown dcn 29GE9 shutdown dcn 29GE15 shutdown dcn Post15 <*> shutdown dcn Post16 <*> shutdown dcn Post17 <*> shutdown dcn Post18 <*> shutdown dcn Post19 <*> shutdown dcn Post25 <*> shutdown dcn,2
6c485c50,display currentconfiguration Version <*> configuration was updated at configuration was saved at <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> default 8oed soc <*> password <*> <*> servicetype <*> state active <*> <*> <*> <*> <*> <*> portbasic slot card port portevpn slot card port portvxlan slot card port portI3vpn slot card port <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn <*> shutdown dcn 25GE5 shutdown dcn 25GE5 shutdown dcn 25GE5 shutdown dcn 25GE5 shutdown dcn 25GE5 shutdown dcn 25GE5 shutdown dcn Post5 ppp shutdown dcn Post5 ppp shutdown dcn Post5 ppp shutdown dcn user Admin System user Admin System rsa user Admin System service user Is3_System user Is3_System rsa user Is3_System service,2
cfa74b2b,21 INFO mapreduce.Job Counters File System Counters FILE Number of bytes read FILE Number of bytes written FILE Number of read operations FILE Number of large read operations FILE Number of write operations HDFS Number of bytes read HDFS Number of bytes written HDFS Number of read operations HDFS Number of large read operations HDFS Number of write operations Job Counters Launched map tasks Other local map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total vcoremilliseconds taken by all map tasks Total megabytemilliseconds taken by all map tasks MapReduce Framework Map input records Map output records Input split bytes Spilled Records Failed Shuffles Merged Map outputs GC time elapsed (ms) CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot Total committed heap usage (bytes) Peak Map Physical memory (bytes) Peak Map Virtual memory (bytes) CHECKSUM File Input Format Counters Bytes Read File Output Format Counters Bytes Written,1
660711f0,display version Routing Platform Software (R) software Version . ( V800R022C10) (C) Technologies Co. Ltd. uptime is day hours minutes version information version information Slot Quantity Slot Quantity version information (Master) uptime is day hours minutes Startup Time SDRAM Memory Size M bytes CFCARD Memory Size M bytes VMPU CR9D0MPUQ180VMPU version information PCB Version VIRTUALMPU REV A (Master) uptime is day hours minutes Startup Time SDRAM Memory Size M bytes CFCARD Memory Size M bytes VMPU CR9D0MPUQ180VMPU version information PCB Version VIRTUALMPU REV C version information uptime is day hours minutes StartupTime Host processor SDRAM Memory Size M bytes Flash Memory Size M bytes PCB Version VIRTUALMPU REV C EPLD Version FPGA Version CHIP Version CHIP2 Version FPGA Version FPGA2 Version CHIP Version CHIP2 Version Software Version uptime is day hours minutes StartupTime Host processor SDRAM Memory Size M bytes Flash Memory Size M bytes PCB Version VIRTUALMPU REV C EPLD Version FPGA Version CHIP Version CHIP2 Version FPGA Version FPGA2 Version CHIP Version CHIP2 Version Software Version uptime is day hours minutes StartupTime Host processor SDRAM Memory Size M bytes Flash Memory Size M bytes PCB Version VIRTUALMPU REV C EPLD Version FPGA Version CHIP Version CHIP2 Version FPGA Version FPGA2 Version CHIP Version CHIP2 Version Software Version,2
b6ec7abe,Process,3
97fd815a,file_path,2
d4f91763,ne,1
dbd73c2b,quit,9
fffca4d6,commit,2
e70c4df1,return,4
2af72f10,version,2
606a4fdc,vrp_version,2
a3eed93e,ne_type,2
6865aeb3,cd,2
9003d1df,pwd,2
249217bc,screenlength,2
61e9c06e,W,3
87da0faa,Password for <*>,4
6139f9f7,nohup ignoring input,2
5c24a592,user privilege level,2
efbf959f,Start execute CPTS test,3
e4ed21c7,[ .] ] <*>,40
724b83ea,please set and manually,2
6cbeeb9b,line filename argument required,2
0015a174,[ .] ] <*> <*>,55
5b194734,systemview system view return command.,2
5fdcfc21,idletimeout idletimeout is configured as,2
41527ab9,mkdir cannot create directory ' File exists,10
bae043e3,display antitheft status NP state TM state,2
66700b14,system system view return view with return command.,2
232f0f35,userinterface aux ^ command found at '^' position.,2
7c10e157,systemview immediately system view return view with command,2
04ce2e16,diagnose Enter system view return view with return command.,2
23735514,display ipv6 prefix ^ command found at '^' position,2
366b1c2b,21 INFO mapreduce.Job Job job__ running in uber mode,2
4a53cbe7,systemview immediately system view return user view with return command.,4
ff83688c,delete rui user all ^ command found at '^' position,5
61576754,Warning This operation will revert configuration changes to the file Continue? [Y,2
d01698ef,undo ssh client <*> ^ Too many parameters found at '^' position,4
9ca309f7,display patch verbose No patch exists. current state is Idle Info PatchType Count,2
114579f2,ERROR execute cmd '( node list > grep RUNNING )' timedout. STDOU STDER,2
bad28af4,Y Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y,4
528ddc28,Warning Telnet is not a secure protocol and it is recommended to use Stelnet.,2
dfca21e4,[ .] ] display <*> <*>,10
9b1cf499,[ .] ] user privilege level,2
8ec20a70,[ .] ] undo <*> <*>,14
c998a6b9,<*> <*> <*> <*> <*> <*> command found at '^' position,5
6a346ae0,undo ssh client ^ Too many parameters found at '^' position,2
2f565ae7,Start Process,3
bb8ab6a4,precondition <*>,2
02a79fe4,patching args,4
1d4d98b2,display datachannel,2
5fdc7442,ipn Router,2
2543f246,Parsing conf,8
d05b9e60,userinterface con,4
da1eeba9,userinterface vyt,2
d0e84f2a,authenticationmode <*>,2
7c8fe369,interface Pos,6
e5d37cd0,ne9001590 7hregrw,1
65979e98,Creating CPTS process.,1
88d1c7d6,Creating job3 data.,1
159a9742,display clock Zone(DefaultZoneName) UTC,2
