EventId,EventTemplate,Occurrences
6b77fa65,jetty-6.1.26,1
d19526e3,Not uberizing job_1445144423722_0020 because not enabled; too many maps; too much input;,1
a78e3c53,Slow ReadProcessor read fields took 65020ms (threshold 30000ms); ack seqno -2 status SUCCESS status ERROR downstreamAckTimeNanos 0 targets [ 50010 50010],1
ac25a255,<*> Scheduling PendingReds <*> ScheduledMaps <*> ScheduledReds <*> AssignedMaps <*> AssignedReds 0 CompletedMaps <*> CompletedReds 0 ContAlloc <*> ContRel <*> HostLocal <*> RackLocal <*>,17
1be5c784,Task <*> - exited java.net.NoRouteToHostException No Route to Host from MININT-FNANLI5/ to msra-sa-41 9000 failed on socket timeout exception java.net.NoRouteToHostException No route to host no further information; For more details see http //wiki.apache.org/hadoop/NoRouteToHost,2
f44352a2,Diagnostics report from <*> Error java.net.NoRouteToHostException No Route to Host from MININT-FNANLI5/ to msra-sa-41 9000 failed on socket timeout exception java.net.NoRouteToHostException No route to host no further information; For more details see http //wiki.apache.org/hadoop/NoRouteToHost,4
a0db30cf,Cannot assign container Container [ContainerId container_1445144423722_0020_01_000012 NodeId MSRA-SA-39.fareast.corp.microsoft.com 28345 NodeHttpAddress MSRA-SA-39.fareast.corp.microsoft.com 8042 Resource <memory 1024 vCores 1> Priority 20 Token Token { kind ContainerToken service 28345 } ] for a map as either container memory less than required <memory 1024 vCores 1> or no pending map tasks - maps.isEmpty true,1
b827c7a4,Executing with tokens,1
0594ecc2,Using mapred newApiCommitter.,1
1dcef818,Started HttpServer2$SelectChannelConnectorWithSafeStartup@ 62267,1
ca7d7941,loaded properties from hadoop-metrics2.properties,1
fc657c96,MRAppMaster metrics system started,1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
0f129e3f,IPC Server Responder starting,2
bbcb7314,adding path spec <*>,2
5ba9445a,Registered webapp guice modules,1
6659e8b0,Resolved <*> to /default-rack,39
0f71bb1f,Got allocated containers <*>,10
8be615a5,Opening proxy <*> <*>,13
ba0e1b89,Received completed container <*>,2
0a1bddef,Done acknowledgement from attempt_1445144423722_0020_m_000003_0,1
bcfab721,Num completed Tasks 1,1
b4ff2357,ERROR IN CONTACTING RM.,147
82ea09ae,Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
c0c8618d,OutputCommitter set in config null,1
b423e34e,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/ 62260,1
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
dcd06e1a,Jetty bound to port 62267,1
9df3526b,<*> <memory <*> vCores <*>,3
b6e516de,Processing the event EventType <*>,3
5e5f5ff9,Assigned container <*> to <*>,10
a83c59ee,Size of containertokens_dob is 1,1
944f8887,Putting shuffle token in serviceData,1
04500f53,Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,1
e4f4c0f8,Error writing History Event org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d,1
2b7f7e1e,<*> failures on node MININT-FNANLI5.fareast.corp.microsoft.com,2
3a2b3aef,Registering class <*> for class <*>,9
7de9bc65,Default file system [hdfs //msra-sa-41 9000],3
9e8ad6ab,Scheduled snapshot period at 10 second(s).,1
