EventId,EventTemplate,Occurrences
e1fe025b,checkFirstSyncByType no such data in db type is 1 deviceCode is 0,2
1255ec19,startSync hiSyncOption HiSyncOption{syncAction <*> syncMethod 2 syncScope 0 syncDataType 20000 syncModel 2 pushAction 0} app 1 who 1,5
8764d489,sendSyncFailedBroadcast,5
e788f919,initEnviroument,1
3244bf49,getStepCounterStatus,1
86bcfaea,reStartStepCounter,1
3616b800,clear(),1
71ffe66c,tryToReloadTodayBasicSteps1514044800223|3786|0|0,1
8e523808,closeNotification...,1
c5a628cf,deleteHealthNotification(),1
0083b732,<*> action <*>,195
b8f897f8,flush sensor data,17
567a996e,calculateCaloriesWithCache totalCalories <*>,241
660481b7,calculateAltitudeWithCache totalAltitude <*>,241
0635a938,flushTempCacheToDB by stand,1
0da159ce,writeDataToDB size 327,1
abda682b,getBinderPackageName packageName com.huawei.health,8
e08168d7,startListenerChange subscribeList [1],2
b3d6ad7f,flush2DB result success,1
3ba40b70,startTimer start autoSync,3
e89aa876,getTodaySportData mStepsRecordManager com.huawei.health.g.c@8a2a501,6
00d03c97,tryToRecordAsBasicStepData bWrite true,1
3752bcc6,next day steps0mLastReport7214,1
9bf7cf41,setGoalNotifiShownRecord 1514044800237 false,1
a92b3128,insertHiHealthData() end totalTime <*>,2
48a170b5,uploadStaticsToDB failed message true,1
75adfc66,<*> <*> is <*>,8
e1b689f5,timeStamp back extendReportTimeStamp <*>,5
c4ae1232,reload 3786 restar 0,1
f8a5ded1,onExtend <*> <*> 0 <*>,273
d8b19cfd,insertHiHealthData() checkAppType 0 appID 1,2
90ca6463,bulkSaveDetailHiHealthData() size <*> totalTime <*>,2
38085a58,initDataPrivacy the dataPrivacy is true,5
1d4b8a6f,initUserPrivacy the userPrivacy is true,5
3f9b4da2,ifCanSync not! no cloud version,5
f8d9959c,saveRealTimeHealthDatasStat() size 1 totalTime 48,1
facd1a62,setBasicStandardSteps basicStandardStep 3786 restartSteps 0,1
cb1bca0a,screen status unknown think screen on,1
a5c92d1b,<*> <*> type <*> <*> true,2
c0df8ce6,checkInsertStatus <*> or <*> is enough,4
b5c0c650,InsertEvent success begin 25233975 end 25233979,1
a323890f,Alarm uploadStaticsToDB totalSteps 7163Calories 153367Floor 240Distance 5112,1
8f091f59,upLoadOneMinuteDataToEngine time <*> 0 <*> 0 20002,5
893a4f3f,getAppContext() isAppValid health or wear packageName com.huawei.health,2
432654b8,insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode 4 errorMessage ERR_DATA_INSERT,1
adfc3754,stepSyncOrNot appSynTimes is 0 statsyncTimes is 0,2
7181eb84,startInsertSportSync start auto sync app is 1,2
8778e7bd,new date 20171223 type <*> <*> old <*>,17
7979a2cf,startInsertSportSync first 500 steps sync do all sync,2
1252792c,saveStatData() type <*> time 1513958400000 statClient 2 who is 1,4
2f6d5f1d,<*> the <*> switch is open start push <*> data!,10
aac7414a,insertHiHealthData() size <*> app 1 One Data Type <*> packageName com.huawei.health writeStatType 0,2
931b994e,checkCurrentDay a new day comes reset basicSyncCondition currentDay is 20171224 oldDay is 20171223,1
93067dc4,onStandStepChanged <*>,260
5ffdf11c,getTodayTotalDetailSteps <*>,242
f492f53f,setTodayTotalDetailSteps <*>,241
03a21551,isScreenOn true,1
e4428a19,setWriteDBLastDataMinute <*>,2
e1fe8d25,theDayChanged 1514044800216,1
1d366c9a,getStepCounterStatus true,1
bbf9ad1c,registersensorsuccess true,1
9f083f99,getTodayBasicStandardSteps <*>,2
a21db504,getDiffTotalSteps <*>,2
ce783cea,setDiffTotalSteps 0,1
2b358f8a,REPORT 7007 5002 150089 240,1
b2d70ecf,REPORT 7008 5003 150111 240,1
1ffe4fc6,REPORT 7009 5004 150132 240,1
3b7a2665,REPORT 7011 5005 150175 240,1
605e5145,REPORT 7012 5006 150197 240,1
641c096a,REPORT 7013 5007 150218 240,1
08044dd1,REPORT 7014 5007 150239 240,1
82090fa7,REPORT 7015 5008 150261 240,1
051b1c4c,REPORT 7017 5010 150304 240,2
9c4be5f6,REPORT 7018 5010 150325 240,1
53075a15,REPORT 7019 5011 150346 240,1
3bde1035,REPORT 7020 5012 150368 240,1
8f2efdbe,REPORT 7021 5012 150389 240,1
6d9e54d1,REPORT 7022 5013 150411 240,1
771d7983,REPORT 7023 5014 150432 240,1
4fbc3fcf,REPORT 7024 5015 150454 240,1
8b4a2f2a,REPORT 7025 5015 150475 240,1
8c4b069a,REPORT 7026 5016 150496 240,1
ac6cdc69,REPORT 7027 5017 150518 240,1
cd727c72,REPORT 7028 5017 150539 240,1
18c81606,REPORT 7029 5018 150561 240,1
7005a235,REPORT 7030 5019 150582 240,1
e72c8c01,REPORT 7031 5020 150604 240,1
310da275,REPORT 7032 5020 150625 240,1
2af04e36,REPORT 7033 5021 150646 240,1
4cd2625d,REPORT 7034 5022 150668 240,1
8979b2a0,REPORT 7035 5022 150689 240,1
cde9f049,REPORT 7036 5023 150711 240,1
a073e4e6,REPORT 7037 5024 150732 240,1
9bcd01de,REPORT 7038 5025 150753 240,1
7254cf34,REPORT 7039 5025 150775 240,1
acaa6a21,REPORT 7040 5026 150796 240,1
4f96c5d9,REPORT 7041 5027 150818 240,1
4c557c59,REPORT 7042 5027 150839 240,1
89754be1,REPORT 7044 5029 150882 240,1
61f91af3,REPORT 7045 5030 150903 240,1
910eaa16,REPORT 7047 5031 150946 240,1
2e596605,REPORT 7048 5032 150968 240,1
c96f53b0,REPORT 7050 5033 151011 240,1
ccb983a1,REPORT 7052 5035 151053 240,1
2c7e7d2f,REPORT 7053 5035 151075 240,1
b4b6b01c,REPORT 7054 5036 151096 240,1
abe6c47f,REPORT 7056 5037 151139 240,1
f3fabf07,REPORT 7058 5039 151182 240,1
62b3b952,REPORT 7060 5040 151225 240,1
a3b75033,REPORT 7062 5042 151268 240,1
c84b9405,REPORT 7064 5043 151310 240,1
0b2cd3c2,REPORT 7066 5045 151353 240,1
cf31326f,REPORT 7068 5046 151396 240,1
b0bc95df,REPORT 7070 5047 151439 240,1
6d5176c0,REPORT 7071 5048 151460 240,1
ea3e790e,REPORT 7074 5050 151525 240,1
779427cd,REPORT 7075 5051 151546 240,1
065bc4af,REPORT 7077 5052 151589 240,1
bf257975,REPORT 7079 5054 151632 240,1
4013648f,REPORT 7081 5055 151675 240,1
0a1dd9ea,REPORT 7083 5057 151717 240,1
f115f28b,REPORT 7084 5057 151739 240,1
14e6834f,REPORT 7086 5059 151782 240,1
057bcaaf,REPORT 7088 5060 151824 240,1
792e90f3,REPORT 7090 5062 151867 240,1
67739053,REPORT 7092 5063 151910 240,1
d5b76382,REPORT 7094 5065 151953 240,1
b8030732,REPORT 7095 5065 151974 240,1
47384f87,REPORT 7097 5067 152017 240,1
c156d931,REPORT 7099 5068 152060 240,1
47cda88e,REPORT 7101 5070 152103 240,1
479366d7,REPORT 7102 5070 152124 240,1
20f1c023,REPORT 7103 5071 152146 240,1
45972092,REPORT 7104 5072 152167 240,1
33ae9627,REPORT 7105 5072 152189 240,1
baefc4a3,REPORT 7106 5073 152210 240,1
c7645b8c,REPORT 7107 5074 152231 240,1
32fd5017,REPORT 7109 5075 152274 240,1
2fbc336f,REPORT 7111 5077 152317 240,1
29ee9149,REPORT 7112 5077 152339 240,1
d10b8c2b,REPORT 7113 5078 152360 240,1
28bef299,REPORT 7114 5079 152381 240,1
063d29e1,REPORT 7117 5081 152446 240,1
5ec486ee,REPORT 7122 5085 152553 240,1
561e1e75,REPORT 7124 5086 152596 240,1
e0f2e772,REPORT 7126 5087 152638 240,1
5f79fdce,REPORT 7128 5089 152681 240,1
dbff31ac,REPORT 7130 5090 152724 240,1
d26e8524,REPORT 7132 5092 152767 240,1
9d285cc5,REPORT 7135 5094 152831 240,1
4120695a,REPORT 7139 5097 152917 240,1
6d64f63d,REPORT 7140 5097 152938 240,1
f5ec68b4,REPORT 7154 5107 153238 240,1
35a8493d,REPORT 7160 5112 153367 240,1
385cc35d,REPORT 7163 5114 153431 240,1
92c2bd9d,REPORT 7165 5115 153474 240,1
70a38add,REPORT 7167 5117 153517 240,1
577aa7af,REPORT 7170 5119 153581 240,1
7d81b9cc,REPORT 7173 5121 153645 240,1
55da9ec2,REPORT 7174 5122 153667 240,1
61ec8923,REPORT 7176 5123 153709 240,1
217ed7b1,REPORT 7179 5125 153774 240,1
71c708b7,REPORT 7181 5127 153817 240,1
ad04af25,REPORT 7183 5128 153859 240,1
f351cf95,REPORT 7185 5130 153902 240,1
d1ff257b,REPORT 7186 5130 153924 240,1
dd242dfa,REPORT 7187 5131 153945 240,1
2a674cae,REPORT 7188 5132 153966 240,1
e9762497,REPORT 7189 5132 153988 240,16
f418eb38,REPORT 7191 5134 154031 240,1
73dbdcca,REPORT 7192 5135 154052 240,1
b4f90281,REPORT 7193 5135 154074 240,1
9c845559,REPORT 7196 5137 154138 240,1
f36dad16,REPORT 7198 5139 154181 240,1
9137e45a,REPORT 7200 5140 154223 240,1
7d2d9f52,REPORT 7202 5142 154266 240,1
4857b4b5,REPORT 7205 5144 154331 240,1
0d1f505f,REPORT 7208 5146 154395 240,1
557122af,REPORT 7211 5148 154459 240,1
94a2d22b,REPORT 7212 5149 154481 240,1
fb10eec7,REPORT 7214 5150 154523 240,3
5203c108,REPORT 0 0 0 0,1
b5d8f32c,saveHealthDetailData() deviceID 2 clientID 1 id 1,2
e98e90a8,saveHealthDetailData() saveOneDetailData fail hiHealthData 1513958400000 type <*>,2
