EventId,EventTemplate,Occurrences
c1587ebf,MAHOUTJOB,5
9638503a,Type Date Time Input_data_size Duration(s) Throughput(bytes Throughput . . . . .,647
94979f5b,22 WARN MahoutDriver No trainnb.props found on classpath will use commandline arguments only,2
90d27bea,22 WARN mapreduce.JobResourceUploader Hadoop commandline option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.,3
195ca00a,22 INFO <*> Got dt for hdfs Kind HDFS_DELEGATION_TOKEN Service hahdfs cuhkcluster Ident (token for team7 HDFS_DELEGATION_TOKEN ownerteam7@BIGDATA reneweryarn realUser issueDate maxDate sequenceNumber masterKeyId),44
21a804b4,22 INFO Job Task Id attempt___m__ Status FAILED File does not exist hdfs at at at at at at at at at at at <*> <*> at at at,9
d462b865,[ .]File does not exist hdfs File does not exist hdfs at at at at at at at at at Method) at at at at at at at at at at at at,1
2a1b2f8e,"Traceback (most recent call last) File ""<stdin>"" line in <module> File ""<stdin>"" line in demo File ""<stdin>"" line in demo File ""<stdin>"" line in demo [Previous line repeated more times] File ""<stdin>"" line in demo maximum recursion depth exceeded in comparison",1
1edc5465,USER PID %CPU %MEM VSZ RSS TTY STAT START TIME COMMAND . . tty1 Ss noclear tty1 linux . . pts Ss initfile . . pts S sh run_terasort.sh . . pts R ps au . . pts Ss initfile . . pts Ss initfile,12
b8c9295e,mysql> select * from mysql.general_log; event_time user_host thread_id server_id command_type argument root[root] @ localhost [] Query select * from MyDB.test [root] @ localhost [] Connect root@localhost on root[root] @ localhost [] Query KILL QUERY root[root] @ localhost [] Quit root[root] @ localhost [] Query select * from mysql.general_log,1
87764716,mysql> select * from mysql.general_log; event_time user_host thread_id server_id command_type argument root[root] @ localhost [] Query show variables like 'general%' root[root] @ localhost [] Query show variables like 'log_output' [root] @ localhost [] Connect root@localhost on root[root] @ localhost [] Query KILL QUERY root[root] @ localhost [] Quit root[root] @ localhost [] Query select * from mysql.general_log,1
d5bac0ed,Type Date Time Input_data_size Duration(s) Throughput(bytes Throughput . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,2
97914deb,"Traceback (most recent call last) File "" line in <module> load_config(conf_root workload_configFile workload_folder patching_config) File "" line in load_config generate_optional_value() File "" line in generate_optional_value probe_masters_slaves_hostnames() File "" line in probe_masters_slaves_hostnames probe_masters_slaves_by_Yarn() File "" line in probe_masters_slaves_by_Yarn assert ""Get workers from yarnsite.xml page failed reason %s\nplease set and manually"" % e Get workers from yarnsite.xml page failed reason ( node list > grep RUNNING ) executed timedout for seconds",1
34c9c1cd,22 INFO Job Task Id attempt___r__ Status FAILED File does not exist (inode ) Holder DFSClient_attempt___r____ does not have any open files. at at at at at at at at at at at at Method) at at at at Method) at at at at at at at at at by File does not exist (inode ) Holder DFSClient_attempt___r____ does not have any open files. at at at at at at at at at at at at Method) at at at at at at at at at Source) at at Method) at at at at at at at at at Source) at ... more,1
3410cacf,"22 INFO Job Counters Job Counters Failed map tasks Killed map tasks Killed reduce tasks Launched map tasks Other local map tasks Datalocal map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total vcoremilliseconds taken by all map tasks Total megabytemilliseconds taken by all map tasks MapReduce Framework CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot in thread ""main"" Job failed! at at at at at at at Method) at at at at at at at at Method) at at at at at",1
de7f93cd,PID USER PR NI VIRT RES SHR ST %CPU %MEM TIME COMMAND mqy .3g R . . node wwmm .1g .6g .2g R . . . python wwmm .5g .4g .2g S . . . python root R . . . kworker yyl S . . . nvidiasmi xjjl S . . . node xjjl R . . . top root S . . . containerd hyy S . . . node skyfall S . . . node skyfall S . . . node mysql S . . . mysqld root I . . . rcu_sched root S . . . irq root I . . . kworker hyy .0g S . . . java,1
43dc33bf,PID USER PR NI VIRT RES SHR ST %CPU %MEM TIME COMMAND mqy .3g R . . node wwmm .1g .6g .2g R . . . python wwmm .5g .4g .2g S . . . python root R . . . kworker yyl S . . . nvidiasmi xjjl S . . . node xjjl R . . . top root S . . . containerd hyy S . . . node skyfall S . . . node skyfall S . . . node mysql S . . . mysqld root I . . . rcu_sched root S . . . irq root I . . . kworker root I . . . kworker hyy S . . . sshd jiaqi .3g S . . . node,1
b2dc6466,PID USER PR NI VIRT RES SHR ST %CPU %MEM TIME COMMAND mqy .3g R . . node wwmm .1g .6g .2g R . . . python wwmm .5g .4g .2g S . . . python <*> <*> . . . <*> xjjl S . . . node xjjl R . . . top root S . . . containerd hyy S . . . node skyfall S . . . node skyfall S . . . node mysql S . . . mysqld root I . . . rcu_sched root S . . . irq root I . . . kworker hyy .0g S . . . java root I . . . kworker root I . . . kworker root I . . . kworker hyy S . . . sshd jiaqi .3g S . . . node,2
3924b0a4,PID USER PR NI VIRT RES SHR ST %CPU %MEM TIME COMMAND mqy .3g R . . node wwmm .1g .6g .2g R . . . python wwmm .5g .4g .2g S . . . python root R . . . kworker yyl S . . . nvidiasmi xjjl S . . . node xjjl R . . . top root S . . . containerd hyy S . . . node skyfall S . . . node skyfall S . . . node mysql S . . . mysqld root I . . . rcu_sched root S . . . irq root I . . . kworker hyy .0g S . . . java root I . . . kworker root I . . . kworker root I . . . kworker hyy S . . . sshd jiaqi .3g S . . . node,1
3f216a8e,22 INFO Job Counters File System Counters FILE Number of bytes read FILE Number of bytes written FILE Number of read operations FILE Number of large read operations FILE Number of write operations HDFS Number of bytes read HDFS Number of bytes written HDFS Number of read operations HDFS Number of large read operations HDFS Number of write operations Job Counters Launched map tasks Datalocal map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total vcoremilliseconds taken by all map tasks Total megabytemilliseconds taken by all map tasks MapReduce Framework Map input records Map output records Input split bytes Spilled Records Failed Shuffles Merged Map outputs GC time elapsed (ms) CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot Total committed heap usage (bytes) Peak Map Physical memory (bytes) Peak Map Virtual memory (bytes) File Input Format Counters Bytes Read File Output Format Counters Bytes Written,3
4d162ae6,22 INFO mapreduce.Job Counters File System Counters FILE Number of bytes read FILE Number of bytes written FILE Number of read operations FILE Number of large read operations FILE Number of write operations HDFS Number of bytes read HDFS Number of bytes written HDFS Number of read operations HDFS Number of large read operations HDFS Number of write operations Job Counters Launched map tasks Other local map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total vcoremilliseconds taken by all map tasks Total megabytemilliseconds taken by all map tasks MapReduce Framework Map input records Map output records Input split bytes Spilled Records Failed Shuffles Merged Map outputs GC time elapsed (ms) CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot Total committed heap usage (bytes) Peak Map Physical memory (bytes) Peak Map Virtual memory (bytes) CHECKSUM File Input Format Counters Bytes Read File Output Format Counters Bytes Written,2
2a4c4eda,22 INFO mapreduce.Job Counters File System Counters FILE Number of bytes read FILE Number of bytes written FILE Number of read operations FILE Number of large read operations FILE Number of write operations HDFS Number of bytes read HDFS Number of bytes written HDFS Number of read operations HDFS Number of large read operations HDFS Number of write operations Job Counters Launched map tasks Other local map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total vcoremilliseconds taken by all map tasks Total megabytemilliseconds taken by all map tasks MapReduce Framework Map input records Map output records Input split bytes Spilled Records Failed Shuffles Merged Map outputs GC time elapsed (ms) CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot Total committed heap usage (bytes) Peak Map Physical memory (bytes) Peak Map Virtual memory (bytes) HiBench.Counters BYTES_DATA_GENERATED File Input Format Counters Bytes Read File Output Format Counters Bytes Written,2
7c68cdbf,"22 INFO Job Counters File System Counters FILE Number of bytes read FILE Number of bytes written FILE Number of read operations FILE Number of large read operations FILE Number of write operations HDFS Number of bytes read HDFS Number of bytes written HDFS Number of read operations HDFS Number of large read operations HDFS Number of write operations Job Counters Failed reduce tasks Launched map tasks Launched reduce tasks Datalocal map tasks Total time spent by all maps in occupied slots (ms) Total time spent by all reduces in occupied slots (ms) Total time spent by all map tasks (ms) Total time spent by all reduce tasks (ms) Total vcoremilliseconds taken by all map tasks Total vcoremilliseconds taken by all reduce tasks Total megabytemilliseconds taken by all map tasks Total megabytemilliseconds taken by all reduce tasks MapReduce Framework Map input records Map output records Map output bytes Map output materialized bytes Input split bytes Combine input records Spilled Records Failed Shuffles Merged Map outputs GC time elapsed (ms) CPU time spent (ms) Physical memory (bytes) snapshot Virtual memory (bytes) snapshot Total committed heap usage (bytes) Peak Map Physical memory (bytes) Peak Map Virtual memory (bytes) File Input Format Counters Bytes Read in thread ""main"" Job failed! at at at at at at at Method) at at at at at at at at Method) at at at at at",2
