EventId,EventTemplate,Occurrences
3355dd21,network changed <*> ) <*> 2607 f140 6000 8 <*> <*> <*> <*> <*> Proxy SMB,8
896c4c45,"Configuration Notice ASL Module """" sharing output destination ""/var/log/Accounts"" with ASL Module """". Output parameters from ASL Module """" override any specified in ASL Module """".",1
1eb2c465,hibernate_machine_init pagesDone <*> sum2 <*> time <*> ms disk(0x20000) <*> Mb/s comp bytes <*> time <*> ms <*> Mb/s crypt bytes <*> time <*> ms <*> Mb/s,2
ae47fcbd,Google Chrome He[36456] triggered unnest of range 0x7fff93c00000->0x7fff93e00000 of DYLD shared region in VM map 0x77c9114550458e7b. While not abnormal for debuggers this increases system memory footprint until the target exits.,1
ab83a05b,-[UABestAppSuggestionManager notifyBestAppChanged type options bundleIdentifier activityType dynamicIdentifier when confidence deviceName deviceIdentifier deviceType ] (null) UASuggestedActionType 0 (null)/(null) opts (null) when <*> <*> <*> <*> +0000 confidence 1 from (null)/(null) (UABestAppSuggestionManager.m #319),14
1bf9b1f3,"2017-07-04 09 42 57.924 GoogleSoftwareUpdateAgent[34603/0x700000323000] [lvl 2] +[KSCodeSigningVerification verifyBundle applicationId error ] KSCodeSigningVerification verifying code signing for '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/GoogleSoftwareUpdateDaemon' with the requirement 'anchor apple generic and certificate 1[] exists and certificate leaf[] exists and certificate leaf[subject.OU] ""EQHXZ8M8AV"" and (identifier """")'",1
0952590f,en0 Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,2
5439c67d,en0 Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161 165,2
d8f34116,2017-07-03 20 25 13.378 GoogleSoftwareUpdateAgent[33847/0x7000002a0000] [lvl 2] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s) {( <KSTicket 0x10053b310 productID version xc <KSPathExistenceChecker 0x10053ac30 path /Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle> url https ///service/update2 creationDate 2017-02-18 15 41 17 ticketVersion 1 > )} Using server <KSOmahaServer 0x100248090 engine <KSUpdateEngine 0x1007249c0> >,1
8904179f,"PBRequester failed with Error Error Domain NSURLErrorDomain Code -1001 ""The request timed out."" UserInfo {NSUnderlyingError <*> {Error Domain kCFErrorDomainCFNetwork Code -1001 ""The request timed out."" UserInfo {NSErrorFailingURLStringKey https <*> NSErrorFailingURLKey https <*> _kCFStreamErrorCodeKey -2102 _kCFStreamErrorDomainKey 4 NSLocalizedDescription The request timed out.}} NSErrorFailingURLStringKey https <*> NSErrorFailingURLKey https <*> _kCFStreamErrorDomainKey 4 _kCFStreamErrorCodeKey -2102 NSLocalizedDescription The request timed out.}",2
eb1e36a5,"[] [Account refresh failed with error Error Domain CoreDAVHTTPStatusErrorDomain Code 502 ""(null)"" UserInfo {AccountName 163 CalDAVErrFromRefresh YES CoreDAVHTTPHeaders <CFBasicHash 0x7fa11fe7a810 [0x7fff7abc1440]>{type immutable dict count 5 entries > 0 Connection <CFString 0x7fff7ab1aea0 [0x7fff7abc1440]>{contents ""keep-alive""} 3 Content-Type text/html 4 Content-Length 166 5 Server nginx 6 Date <CFString 0x7fa11ac2ab80 [0x7fff7abc1440]>{contents ""Fri 07 Jul 2017 05 32 43 GMT""} } }]",1
95118c48,"[CardDAVPlugin-ERROR] -getPrincipalInfo [_controller supportsRequestCompressionAtURL https //13957525385%40163.com@/874161398/principal/] Error Domain NSURLErrorDomain Code -1001 ""The request timed out."" UserInfo {NSUnderlyingError 0x7f9af3646900 {Error Domain kCFErrorDomainCFNetwork Code -1001 ""The request timed out."" UserInfo {NSErrorFailingURLStringKey https //13957525385%40163.com@/874161398/principal/ NSErrorFailingURLKey https //13957525385%40163.com@/874161398/principal/ _kCFStreamErrorCodeKey -2102 _kCFStreamErrorDomainKey 4 NSLocalizedDescription The request timed out.}} NSErrorFailingURLStringKey https //13957525385%40163.com@/874161398/principal/ NSErrorFailingURLKey https //13957525385%40163.com@/874161398/principal/ _kCFStreamErrorDomainKey 4 _kCFStreamErrorCodeKey -2102 NSLocalizedDescription The request timed out.}",1
ccd2a6e9,nw_path_evaluator_start_helper_connection net_helper_path_evaluation_start failed dumping backtrace [x86_64] 0 libsystem_network.dylib 0x00007fff92fabde9 __nw_create_backtrace_string + 123 1 libsystem_network.dylib 0x00007fff92fc289f nw_path_evaluator_start_helper_connection + 196 2 libdispatch.dylib 0x00007fff980fa93d _dispatch_call_block_and_release + 12 3 libdispatch.dylib 0x00007fff980ef40b _dispatch_client_callout + 8 4 libdispatch.dylib 0x00007fff980f403b _dispatch_queue_drain + 754 5 libdispatch.dylib 0x00007fff980fa707 _dispatch_queue_invoke + 549 6 libdispatch.dylib 0x00007fff980f2d53 _dispatch_root_queue_drain + 538 7 libdispatch.dylib 0x00007fff980f2b00 _dispatch_worker_thread3 + 91 8 libsystem_pthread.dylib 0x00007fff8ebc44de _pthread_wqthread + 1129 9 libsystem_pthread.dylib 0x00007fff8ebc2341 start_wqthread + 13,1
c182a059,"2017-07-01 19 46 26.133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl 2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg ] Checking with local engine <KSUpdateEngine 0x100259c60 ticketStore <KSPersistentTicketStore 0x100253770 store <KSKeyedPersistentStore 0x100254d10 path ""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile <KSLockFile 0x100254d80 path ""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/"" locked NO > >> processor <KSActionProcessor 0x100259e70 delegate <KSUpdateEngine 0x100259c60> isProcessing NO actionsCompleted 0 progress 0.00 errors 0 currentActionErrors 0 events 0 currentActionEvents 0 actionQueue ( ) > delegate (null) serverInfoStore <KSServerPrivateInfoStore 0x1002594d0 path ""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors 0 >",1
