EventId,EventTemplate,Occurrences
77a4e000,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",1
3775c1bb,"acquire lock=<*>, flags=<*>, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>",1
79c5193f,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",199
63338231,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0  t761}}} -- going to hide,4
b50b5c83,visible is <*>,3
5c6b423a,mVisiblity.getValue is false,5
6c4a7d49,visible is <*> gt <*>,2
f38023d3,"release:lock=<*>, flg=<*>, tag=""View Lock"", name=<*>"", ws=null, uid=<*>, pid=<*>",1
ab867666,"updateClipping  getTopPadding=<*>.<*>, Translation=-<*>.<*>",52
b82c082d,updateDimmedActivatedHideSensitive overlap:false,52
f7fafbb3,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
cc6ac69b,"release:lock=<*>, flg=<*>,    uid=<*>, pid=<*>",25
113077ce,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
382028dc,cancelAutohide,15
1b95fefb,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
0e53d7e5,Destroying surface Surface(name=SurfaceView - <*><*>.<*>) called by <*>:<*> <*>:<*> <*>:<*> <*>$Stub.onTransact:<*> <*>:<*> <*>:<*> <bottom of call stack> <bottom of call stack>,1
52b5b4b0,Destroying surface  called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*>  <*>:<*>,24
09c65893,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
f80ee7b9,"orientation change is complete, call stopFreezingDisplayLocked",1
f6471724,Screen frozen for +1s0ms due to Window{<*> u0 <*><*>.<*>},1
2be87b23,startAnimation begin,1
4c358bbd,startAnimation end,1
5636448e,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2
6644778a,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",2
5a4a5a3d,Application requested orientation  got rotation <*> which has compatible metrics,3
1b29abe6,"acquire lock=<*>, flags=<*>,    uid=<*>, pid=<*>",25
326be389,shouldBlockLocation running ...,37
0c9dee8a,shouldBlockLocation ret:false,33
9b741bff,getNeighboringCellInfo calling app is <*>,5
56eb34bf,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
acc3c319,HBM brightnessIn =<*>,85
05131012,HBM brightnessOut =<*>,85
ada2ed50,"Animating brightness: target=<*>, rate=<*>",85
e5d03fc8,suspendAutohide,23
4ecbe7e2,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down  canceled false,14
51d3963a,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
93d619b5,resumeSuspendedAutohide,10
01f8736c,querySoundEffectsEnabled...,17
0a6ddfe4,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
ce102768,Bad activity token: <*>@<*>,1
4ae900e2,<*>: <*> cannot be cast to <*>$Token,1
3db7322e,"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",2
278bbeeb,schedulePeek,1
e684be4d,getRingtonePlayer...,2
5955691a,disable: < expand  alerts  back home recent clock navigationbar search quick_settings >,6
79e00f87,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == ",6
7ff909c5,"updateLightsLocked,turn off notificationLight",6
9a2c9b52,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:-<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():-<*>",13
81086b2f,"state.clipTopAmount:<*>, i:<*>",12
15f6eda1,updateDimmedActivatedHideSensitive overlap:true,13
b48be571,onExpandingStarted,2
e5ea7ae2,onTrackingStarted,1
e7c16972,"state.clipTopAmount:-<*>, i:<*>",1
a1c3cf9d,cancelPeek: false,20
ffde4cd8,"flingToHeight: vel=<*>.<*>,  target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",2
c84240de,onTrackingStopped: true,1
3c9f2e24,onExpandingFinished,2
