EventId,EventTemplate,Occurrences
fc89114a,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID<*>),1
181e8923,Component State Change: Component \042alt0\042 is in the unavailable state (HWID<*>),11
015efd87,clusterAddMember (command 1902),1
cb8dfed1,clusterAddMember (command 1900),1
3adc02f8,risBoot (command 1903),1
23f9787e,bootGenvmunix (command 1903),1
247f8f69,boot (command 1911),1
faa400ce,boot (command 1910),1
44549762,boot (command 1978),1
744eb318,boot (command 1967),1
2dcd2c06,wait (command 1975),1
5fdebd75,boot (command 1999),1
5ed2245d,halt (command 1982),1
56826b79,boot (command 1981),1
f7e0a37e,boot (command 1973),1
ec2d0e2f,wait (command 1973),1
dbcc3c9e,wait (command 2057),1
0d49dcae,boot (command 2152),1
0a08261e,wait (command 2154),1
c022abb5,boot (command 2141),1
03951bdf,boot (command 2110),1
f1899223,boot (command 2160),1
fd6d99fd,halt (command 2221),1
9ce2b421,wait (command 2217),2
0f276a96,wait (command 2201),1
672aee85,wait (command 2199),1
0198a1a0,boot (command 2183),1
5f916289,wait (command 2189),1
d4821d0f,wait (command 2302),1
d7ea8370,wait (command 2270),1
8f8a3848,wait (command 2257),1
fe2c62b7,boot (command 2257),1
f8b73a77,boot (command 2316),2
ace0fd86,wait (command 2322),1
cfe21d51,wait (command 2354),1
43ff9814,wait (command 2347),1
675faad6,boot (command 2368),1
af9b27cb,boot (command 2392),1
83f470ae,boot (command 2406),1
fa00485b,boot (command 2417),1
35e61a11,boot (command 2423),1
664cf9d6,wait (command 2424),1
42c055ab,wait (command 2449),1
edac54d4,boot (command 2464),1
b46f05cb,wait (command 2468),1
5a5e15ec,boot (command 2520),1
2a8d8864,wait (command 2517),1
18bb6cf5,boot (command 2517),1
5b4a2b76,wait (command 2511),1
d36f4f67,wait (command 2513),1
7a103383,boot (command 2514),1
de491496,wait (command 2484),1
1376ca04,boot (command 2625),1
81622536,wait (command 2607),1
7a9285cd,boot (command 2616),3
53f9cbca,boot (command 2619),1
