EventId,EventTemplate,Occurrences
b59546a3,Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
88190c5b,Executing with tokens:,1
700c656b,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",1
1096954a,Using mapred newApiCommitter.,1
e5509fee,OutputCommitter set in config null,1
fb70ef46,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
69bf72a2,Registering class  for class ,9
333d81b4,Default file system [hdfs://msra-sa-41:9000],3
e3a14f7f,Emitting job history data to the timeline server is not enabled,1
9f5cfeda,loaded properties from hadoop-metrics2.properties,1
92fc0053,Scheduled snapshot period at 10 second(s).,1
e1c2f622,MRAppMaster metrics system started,1
b5e96644,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,1
266ebe12,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,1
a9bc8714,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,1
95e25092,Number of reduces for job job_1445144423722_0020 = 1,1
06a9e132,job_1445144423722_0020Job Transitioned from  to ,3
9adfdb7a,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",1
d27de030,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
e65d5fea,Starting Socket Reader #1 for port ,2
74418427,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
ccccf7e1,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*>:62260,1
9339381a,IPC Server Responder: starting,2
b347e336,IPC Server listener on  starting,2
36d9a0cc,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
c6c6e919,Http request log for http.requests.mapreduce is not defined,1
ab3ca88f,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
9bd62a46,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context ,2
954e67b5,adding path spec: ,2
1cb6ce42,Jetty bound to port 62267,1
0915c869,jetty-6.1.26,1
