EventId,EventTemplate,Occurrences
6c42c5b0,onStandStepChanged 3579,3
81fb44ca,onExtend:1514038530000  0 4,3
2b47aca5,onReceive action: android.intent.action.SCREEN_ON,17
22b9413d,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,17
6634c941,flush sensor data,17
93ca2d6d,getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,1
1863d3b0,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,1
2ca2fba0,calculateCaloriesWithCache totalCalories=126775,1
91d871fe,calculateAltitudeWithCache totalAltitude=240,217
e9cd33be,REPORT :    240,135
0bc40afc,onStandStepChanged 3580,1
0eee5823,getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,1
f539ccde,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,1
7fde7cd8,calculateCaloriesWithCache totalCalories=126797,1
6c892664,onStandStepChanged 3581,1
3948cd50,onExtend:1514038531000  0 4,2
5cc96923,getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,1
ed39cada,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,1
669f98e1,calculateCaloriesWithCache totalCalories=126818,1
1e148afe,onStandStepChanged 3583,1
06810bda,getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,1
5a57206b,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,1
6b69044a,calculateCaloriesWithCache totalCalories=126861,1
f69d5bef,onStandStepChanged 3584,1
85e17b16,onExtend:1514038532000 1 0 4,1
47e4dfc7,getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,1
c1260b73,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,1
b71a0db8,calculateCaloriesWithCache totalCalories=126882,1
5d1f2fe6,onStandStepChanged 3585,1
4603a62e,onExtend:1514038533000 1 0 4,2
8242cdd9,getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,1
0b760e90,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,1
990acd2b,calculateCaloriesWithCache totalCalories=126904,1
4cf31680,onStandStepChanged 3586,1
173fced7,getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,1
ddf56541,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,1
7a037846,calculateCaloriesWithCache totalCalories=126925,1
8eab2278,onStandStepChanged 3587,1
a701bdec,onExtend:1514038534000 1 0 4,1
e91ff2fa,getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,1
115ebd6f,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,1
84a586ef,calculateCaloriesWithCache totalCalories=126947,1
c780eeaf,onStandStepChanged 3588,1
3cf0ffe6,onExtend:1514038535000 1 0 4,2
4adf002e,onReceive action: android.intent.action.SCREEN_OFF,17
39fe8ddb,onStandStepChanged 3589,3
3ba4b1ae,getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,1
22ea94e0,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,1
b259634b,calculateCaloriesWithCache totalCalories=126989,2
9ef768ab,isScreenOn true,1
0bb73e48,"screen status unknown,think screen on",1
c17f3ed6,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,1
b78048a7,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,1
b04dd031,onExtend:1514038536000  0 4,3
ceea0b63,onStandStepChanged 3590,1
01e6f619,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,1
86090b78,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,1
afb3f8b4,calculateCaloriesWithCache totalCalories=127011,1
caf263c6,onStandStepChanged 3591,1
df2ce58f,getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,1
45f9a5e1,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,1
0751f179,calculateCaloriesWithCache totalCalories=127032,1
3541bb55,onStandStepChanged 3592,1
3b968995,onExtend:1514038537000 1 0 4,1
5c85c06d,getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,1
a1730ad5,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,1
124e9e16,calculateCaloriesWithCache totalCalories=127054,1
520f3176,onStandStepChanged 3593,1
ffafb9e0,onExtend:1514038538000 1 0 4,2
f6453b5e,getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,1
2a1f2dcb,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,1
af20bab4,calculateCaloriesWithCache totalCalories=127075,1
25c5dfcd,onStandStepChanged 3594,1
470da2da,getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,1
8f676e3a,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,1
37675495,calculateCaloriesWithCache totalCalories=127097,1
3b6918e6,onStandStepChanged 3595,1
789d7bb0,onExtend:1514038539000 1 0 4,2
713a3dd4,getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,1
c0332ffb,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,1
d31bbb41,calculateCaloriesWithCache totalCalories=127118,1
137e4081,onStandStepChanged 3596,1
be50bac1,getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,1
0b3a25d3,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,1
b31f23d2,calculateCaloriesWithCache totalCalories=127139,1
5bb796b3,onStandStepChanged 3597,1
33dba84a,onExtend:1514038540000 1 0 4,1
b20caec7,getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,1
445eeb0c,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,1
7871c575,calculateCaloriesWithCache totalCalories=127161,1
777f5cfd,onStandStepChanged 3598,1
3a317957,onExtend:1514038541000 1 0 4,2
b10d2abc,getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,1
40873cc9,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,1
aa931526,calculateCaloriesWithCache totalCalories=127182,1
22765a2e,onStandStepChanged 3599,1
8d89b3c7,getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,1
5541cd7f,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,1
f80bd2bf,calculateCaloriesWithCache totalCalories=127204,1
fd90276a,onStandStepChanged 3600,1
4bad9bdc,onExtend:1514038542000 1 0 4,2
70313816,getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,1
7fdb817d,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,1
beacec27,calculateCaloriesWithCache totalCalories=127225,1
ee671c8a,onStandStepChanged 3601,1
b91a7004,getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,1
b0117df7,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,1
fc820ba8,calculateCaloriesWithCache totalCalories=127246,1
410078ac,onStandStepChanged 3602,1
3543a301,onExtend:1514038543000 1 0 4,1
f6ed4da5,getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,1
992767b1,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,1
d2c098d9,calculateCaloriesWithCache totalCalories=127268,1
8cce291e,onStandStepChanged 3603,1
aa45dcd8,onExtend:1514038544000 1 0 4,2
6b8efb14,getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,1
abb3d736,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,1
456935df,calculateCaloriesWithCache totalCalories=127289,1
82101a5c,onStandStepChanged 3604,1
f2e681c0,getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,1
aaba2de6,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,1
1855daee,calculateCaloriesWithCache totalCalories=127311,1
f06f851e,onStandStepChanged 3605,1
eac628c5,onExtend:1514038545000 1 0 4,1
1c15bcfe,getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,1
0ae2fdd0,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,1
0cb3035e,calculateCaloriesWithCache totalCalories=127332,1
fa2eab6f,onStandStepChanged 3606,1
5ba49f8a,onExtend:1514038546000 1 0 4,2
0022a1dc,getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,1
6c08f430,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,1
8fda6c91,calculateCaloriesWithCache totalCalories=127354,1
1c83ddaf,onStandStepChanged 3607,1
df03a38b,getTodayTotalDetailSteps = 1514038440000##7034##548365##8661##14831##27189969,1
ca05683c,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,1
808425a5,calculateCaloriesWithCache totalCalories=127375,1
89e2369b,onStandStepChanged 3608,1
aec7fcc8,onExtend:1514038547000 1 0 4,1
537c4da1,getTodayTotalDetailSteps = 1514038440000##7035##548365##8661##14926##27190469,1
26cfb7ee,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,1
7864f020,calculateCaloriesWithCache totalCalories=127396,1
754d4338,onStandStepChanged 3609,1
0eb53261,onExtend:1514038548000 1 0 4,2
6ced239a,getTodayTotalDetailSteps = 1514038440000##7036##548365##8661##15021##27190970,1
