EventId,EventTemplate,Occurrences
334dad93,nohup: ignoring input<*>,3
fef2f1a8,<*> Start obtain and cache Kerberos ticket<*>granting ticket <*><*>,3
b1154f51,Password for team7@BIGDATA: <*>,3
f7302a4b,<*> Start execute hibench test <*><*>,3
be5a0cc3,mkdir: cannot create directory  File exists<*>,34
26bef9d4,Start changing datasize ...<*>,3
e2f1a978,Creating  data ...<*>,5
639333f4,patching args<*><*>,32
ca468b23,Parsing conf: <*>,128
53c74c86,probe sleep jar: <*>,32
1f267189,"ERROR, execute cmd: '( <*> node <*>list <*>> <*> <*> grep RUNNING )' timedout.<*> STDOU<*> STDER<*> Please check!<*>",1
52444156,"Traceback (most recent call last):<*> File ""<*> line <*>, in <module><*> load_config(conf_root, workload_configFile, workload_folder, patching_config)<*> File ""<*> line <*>, in load_config<*> generate_optional_value()<*> File ""<*> line <*>, in generate_optional_value<*> probe_masters_slaves_hostnames()<*> File ""<*> line <*>, in probe_masters_slaves_hostnames<*> probe_masters_slaves_by_Yarn()<*> File ""<*> line <*>, in probe_masters_slaves_by_Yarn<*> assert <*>, ""Get workers from yarn<*>site.xml page failed, reason:%s\nplease set <*> and <*> manually"" % e<*> Get workers from yarn<*>site.xml page failed, reason:( <*> node <*>list <*>> <*> <*> grep RUNNING ) executed timedout for <*> seconds<*>",1
fb7d48a7,please set <*> and <*> manually<*>,1
9997a02c,<*> line <*>: .: filename argument required<*>,1
805c90d8,start HadoopPrepareTerasort bench<*>,2
537c8444,hdfs rm <*>r: <*> <*>config <*> fs <*>rm <*>r <*>skipTrash hdfs:<*>,31
76300dd5,Deleted hdfs:<*>,30
749c8a55,Submit MapReduce Job: <*> <*>config <*> jar <*> teragen <*>D <*> <*>D <*> <*>D <*> <*> hdfs:<*>,2
3d3e58ef,22<*> <*>:<*>:<*> INFO client.AHSProxy: Connecting to Application History server at <*>,38
71c00861,"22<*> <*>:<*>:<*> INFO  Created token for team7: HDFS_DELEGATION_TOKEN owner<*>team7@BIGDATA, renewer<*>yarn, realUser<*>, issueDate<*><*>, maxDate<*><*>, sequenceNumber<*><*>, masterKeyId<*><*> on ha<*>hdfs:cuhkcluster<*>",44
74d0fe80,22<*> <*>:<*>:<*> INFO       ,138
