EventId,EventTemplate,Occurrences
a485aa25,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port =  unplug = 0,36
3c452fc8,Thermal pressure state:  Memory pressure state: 0,39
5c490ac8,FA||Url||taskID[2019352994] dealloc,1
8aff6c08,ARPT:  AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
0b1dffa3,ARPT:  AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
3ec2e9f9,mDNS_DeregisterInterface: Frequent transitions for interface  ,5
3dfa9fb1,"ARPT:  IOPMPowerSource Information:  SleepType: Normal Sleep, 'ExternalConnected':  'TimeRemaining': ",18
209bc9bc,ARPT:  wl0: wl_update_tcpkeep_seq: Original Seq:  Ack:  Win size: 4096,6
3f41bcc8,ARPT:  ARPT: Wake Reason: Wake on  ,11
a2f77a93,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
c324822f,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
5ead95fd,"ARPT:  wl0: MDNS: 0 SRV Recs, 0 TXT Recs",9
ec92d91e,AppleCamIn::systemWakeCall - messageType = ,56
1714863b,"setting hostname to ""authorMacBook-Pro.local""",5
0e86ff69,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for  seconds. Ignoring.",165
0165f8eb,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
80fa73ff,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
3bfbac76,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
917d01b7,PM response took  ms  ,11
15d6563a,"ARPT:  wl0: Roamed or switched channel, reason  bssid  last RSSI ",4
dc31a98f,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,7
1b30f5d7,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
3dc7b8b8,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
64851176,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
4128132c,<*>(31211) deny network-outbound /private/var/run/mDNSResponder,1
d296a43b,ARPT:  wl0: MDNS: IPV6 Addr: ,28
686966ab,AirPort: Link Up on ,13
85a4e960,Sandbox:  deny(1) network-outbound /private/var/run/mDNSResponder,29
b7e0726a,ARPT:  AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
7d94baea,AppleThunderboltGenericHAL::earlyWake - complete - took  milliseconds,22
16ebfe02,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = ,11
c9047e03,ARPT:  wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq  Ack  Win size ,10
fdca1058,en0::IO80211Interface::postMessage bssid changed,10
e827b350,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,6
c55f88d3,mDNS_RegisterInterface: Frequent transitions for interface  ,4
f46646cd,AppleCamIn::wakeEventHandlerThread,20
c8308fab,ARPT:  wl0: setup_keepalive:      ,19
8e10d319,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null)   +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),14
c2709257,en0: channel changed to ,20
0ffcc17c,ARPT:  AQM agg results 0x8001 len hi/lo: 0x0  BAbitmap(0-3) 0 0 0 0,7
119a7fcc,CCFile::captureLog Received Capture notice id:  reason = ,20
