EventId,EventTemplate,Occurrences
da76ad70,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",931
22086309,[instance:  VM  (Lifecycle Event),82
e3f830aa,[instance:  VM Paused (Lifecycle Event),2
46f5adfb,[instance:  During sync_power_state the instance has a pending task (spawning). Skip.,32
4be4b3cb,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,82
1615727a,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
b47d90d9,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,82
952bfe4f,Creating event network-vif-plugged:e<*>ffd-<*>cd<*>-<*>-bddd-<*>f<*>b<*> for instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d,1
80bc5050,"<*> ""POST <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",64
a97f2f50,[instance:  Instance spawned successfully.,17
f0dce9ab,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to spawn the instance on the hypervisor.,1
b57b9ab3,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to build instance.,1
10e88810,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,15
5d1bf6d9,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
290ea70e,Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=[],15
cb05b130,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us:cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,15
2bee7501,"<*> ""DELETE <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",22
3b2a5296,[instance:  Terminating instance,17
22d1c52e,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Instance destroyed successfully.,1
35b5dbf5,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Deleting instance files /var/lib/nova/instances/b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d_del,1
9d4c7c2e,[instance:  Deletion of <*>complete,16
c0338826,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to destroy the instance on the hypervisor.,1
e892b7e4,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to deallocate network for instance.,1
f2379fc6,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,30
e8b6d360,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,30
f539d934,Removing base or swap file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,21
df60e4d1,HTTP exception thrown: No instances found for any event,21
64868687,"[instance:  Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",17
3b217f06,"[instance:  Total memory: <*> MB, used: <*>.<*> MB",18
