EventId,EventTemplate,Occurrences
18d37603,"Registered signal handlers for [TERM, HUP, INT]",1
44440b45,"Changing  acls to: yarn,curi",4
97a448ac,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
5d9b5072,Slf4jLogger started,1
608cc03a,Starting remoting,1
deb755d9,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],1
ed3bef70,Successfully started service 'sparkExecutorActorSystem' on port 55904.,1
679b3c55,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
6a2a4dbe,MemoryStore started with capacity 17.7 <*>,1
1b21ea15,Connecting to driver: spark://CoarseGrainedScheduler@<*>:48069,1
610be07b,Successfully registered with driver,1
2d154906,Starting executor ID 5 on host mesos-slave-07,1
90fd0a16,Successfully started service '<*>' on port 40984.,1
23e98b39,Server created on 40984,1
d56d7443,Trying to register BlockManager,1
d7b4c6cc,Registered BlockManager,1
6aa70158,Got assigned task ,305
74648d3a,Running task  in stage  (TID ,305
fb20752f,Started reading broadcast variable ,37
9563e3f0,"Block  stored as  in memory (estimated size  <*>, free  <*>)",149
b07601fd,Reading broadcast variable  took  ms,37
d3ee94c4,"Partition  not found, computing it",75
3ad14b06,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:21876+7292,2
ca694468,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:14584+7292,2
fdb2196c,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:0+7292,2
fbce8373,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:7292+7292,2
1740b770,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:29168+7292,2
d4bbafca,"<*> is deprecated. Instead, use <*>",5
b2db4ae3,Times: total =  boot =  init =  finish = ,375
7d1a9d71,Finished task  in stage  (TID   bytes result sent to driver,300
a67aa459,Found block  locally,257
d2ae97ac,File Output Committer Algorithm version is 1,30
b6d63410,Saved output of task  to ,30
70674a31,attempt_201706092018_0024_m_000004_1026: Committed,1
9999b9c2,attempt_201706092018_0024_m_000002_998: Committed,1
c47dda63,attempt_201706092018_0024_m_000003_1012: Committed,1
97156be9,attempt_201706092018_0024_m_000001_984: Committed,1
9e820912,attempt_201706092018_0024_m_000000_970: Committed,1
40604495,attempt_201706092018_0024_m_000044_1129: Committed,1
d3393114,attempt_201706092018_0024_m_000043_1128: Committed,1
