EventId,EventTemplate,Occurrences
e67290aa,session closed for user root,24
9e5d812d,session opened for user root by (uid=0),19
0b16f93f,(root) CMD (run-parts /etc/cron.hourly),14
9cf72cdf,data_thread() got not answer from any  datasource,819
0ba35a2f,synchronized to  stratum ,568
2ed96dbe,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,62
9e5401c0,[ib_sm_sweep.c:1455]: No topology change,62
1254fb87,[ib_sm_sweep.c:1482]: No configuration change required,62
d675f1ba,Local disconnected: Connection closed.,3
6f48d48b,connection lost: 'Connection closed.',3
df3d75c5,unable to qualify my own domain name  -- using short name,10
f7d78c7c,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",1
da6e19c4,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",1
9a5ff5bf,"jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost",1
830e594f,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",1
3fdcd64b,"jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost",1
e92ae7ad,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",1
1e67f1f0,"jA9J1WFE024258: from=root, size=1597080, class=0, nrcpts=1, msgid=<200511091901.jA9J1WFE024258@dadmin1>, relay=#7#@localhost",1
4a3c494b,"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1627080, relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",1
4ba39ef1,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,5
a012052e,DHCPOFFER on <*> to 00:11:43:e3:ba:c3 via eth1,5
56468617,"jA9J1dQ7016560: from=root, size=1595423, class=0, nrcpts=1, msgid=<200511091901.jA9J1dQ7016560@aadmin1>, relay=#7#@localhost",1
02b38692,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",1
