EventId,EventTemplate,Occurrences
7b40dc62,printFreezingDisplayLogsopening app wtoken AppWindowToken{<*> token Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}} allDrawn false startingDisplayed false startingMoved false isRelaunching false,1
dfbf46af,"acquire lock <*> flags <*> tag ""View Lock"" name <*> ws null uid <*> pid <*>",1
7977c8e0,ready true policy <*> wakefulness <*> wksummary <*> uasummary <*> bootcompleted true boostinprogress false waitmodeenable false mode false manual <*> auto -<*> adj <*>.0userId <*>,199
295fc0c5,Skipping AppWindowToken{<*> token Token{<*> ActivityRecord{<*> u0 <*><*>.<*> t761}}} -- going to hide,2
ae0e6d6d,visible is <*>,5
168e62e2,mVisiblity.getValue is false,5
80c833fd,"release lock <*> flg <*> tag ""View Lock"" name <*>"" ws null uid <*> pid <*>",1
fcfae88c,updateClipping isOverlap false getTopPadding <*>.<*> Translation -<*>.<*>,39
fd4bbd8e,updateDimmedActivatedHideSensitive overlap false,52
c9e1b6de,getRunningAppProcesses caller <*> does not hold REAL_GET_TASKS; limiting output,81
4fbf81c3,"release lock <*> flg <*> tag ""*launch*"" name android"" ws WorkSource{<*>} uid <*> pid <*>",8
c744de65,setSystemUiVisibility vis <*> mask <*> oldVal <*> newVal <*> diff <*> fullscreenStackVis <*> dockedStackVis <*> fullscreenStackBounds Rect(<*> <*> - <*> <*>) dockedStackBounds Rect(<*> <*> - <*> <*>),200
3c2ee2af,cancelAutohide,15
c4abfc5e,notifyUiVisibilityChanged vis <*> SystemUiVisibility <*>,19
8b1097b9,Destroying surface Surface(name SurfaceView - <*><*>.<*>) called by <*> <*> <*> <*> <*> <*> <*>$Stub.onTransact <*> <*> <*> <*> <*> <bottom of call stack> <bottom of call stack>,1
bb3a7eec,Destroying surface Surface(name <*><*>.<*>) called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>$Stub.onTransact <*> <*> <*>,1
ef6ddcf4,"release lock <*> flg <*> tag ""WindowManager"" name android"" ws WorkSource{<*>} uid <*> pid <*>",1
b79f2ed5,userActivityNoUpdateLocked eventTime <*> event <*> flags <*> uid <*>,69
