EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
6265c739,<*> double-hummer alignment exceptions,109
d9838ebd,CE sym 2 at 0x0b85eee0 mask 0x05,1
aac65e8e,ciod failed to read message prefix on control stream (CioStream socket to 172.16.96.116 <*>,3
cdb38c4a,CE sym 20 at 0x1438f9e0 mask 0x40,1
070de4aa,generating <*>,721
9f7cd7e7,force load/store alignment...............0,2
ad958ebd,CE sym 20 at 0x01228120 mask 0x10,1
032bb495,CE sym 5 at <*> mask 0x04,3
93348fe9,ciod cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1
cd424269,ciod LOGIN <*> failed No such file or directory,18
d2b12ead,CE sym 28 at 0x110067e0 mask 0x02,1
18625b4f,<*> ddr errors(s) detected and corrected on rank 0 symbol <*> bit <*>,18
74e06efc,CE sym 14 at 0x06047860 mask 0x20,1
eeb4f395,CE sym 2 at <*> mask 0x02,2
38a7307d,data TLB error interrupt,60
d875b82b,CE sym 10 at <*> mask 0x08,2
47b58025,ciod Message code 0 is not 51 or 4294967295,1
d2c9db9b,data storage interrupt,30
1b2cec26,instruction address 0x00004ed8,20
4d2fa1f3,data address 0x00000002,8
c36e32bd,machine check i-fetch......................0,5
7b702b56,program interrupt <*>,17
a88ee629,exception syndrome register <*>,6
9851467f,data store interrupt caused by <*>,10
8e70faf1,program interrupt privileged instruction...0,2
498ab566,program interrupt trap instruction.........0,1
c02d3e74,program interrupt imprecise exception......0,3
40c9c002,store operation.............................1,2
c29bb535,machine state register 0x00002000,4
3c7b4c4c,problem state (0 sup 1 usr).......0,3
4a855bbd,floating point instr. enabled.....1,4
f28dcd0f,auxiliary processor.........................0,5
511c1d0d,machine check enable..............0,2
23b2adc8,floating pt ex mode <*> enable......0,5
eb11cd8b,program interrupt unimplemented operation..0,1
2ec4bdb1,debug interrupt enable............0,1
3971a417,byte ordering exception.....................0,2
ae9a7a4f,data address space................0,5
2fbbbfb4,core configuration register 0x00002000,7
445c7f8a,program interrupt fp cr update.............0,1
1335bf9d,guaranteed instruction cache block touch.0,2
09f34f4a,program interrupt fp cr field .............0,4
53a936ba,guaranteed data cache block touch........1,1
baaf5ad4,icache prefetch depth....................0,1
8af037ec,icache prefetch threshold................0,2
198c56f7,wait state enable.................0,1
1c2a9320,critical input interrupt enable...0,1
d177966a,special purpose registers,1
9da88f7b,lr 00004ed0 cr 28244842 xer 20000002 ctr 00086000,1
af999985,rts internal error,1
fe410cc8,debug wait enable.................0,2
940724cb,instruction address space.........0,1
228fcad4,disable store gathering..................0,3
147cfcff,total of <*> ddr error(s) detected and corrected,17
bb7ab73b,CE sym 2 at 0x0b85f680 mask 0x0e,1
f301e699,ciod Error loading <*> invalid or missing program image No such file or directory,21
fdfee6dc,ciod Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map No child processes,1
b9fe0061,CE sym 0 at <*> mask 0x40,4
a15e2448,CE sym 12 at <*> mask 0x04,3
6ff8a592,CE sym 0 at 0x1b8584e0 mask 0x80,1
d745bb08,CE sym 23 at 0x03f89c00 mask 0x10,2
a4a5ba53,instruction address 0x0062fe04,1
33a636b9,<*> <*> is not fully functional,7
