EventId,EventTemplate,Occurrences
9f0807d5,Process<*><*><*>,1
394f6cc4,<*> Start Process <*><*>,3
9d9fc1b3,Password for USER0 <*>,1
82df2e25,<*> Start execute CPTS test <*><*>,3
3c2ac7a1,file_path<*><*>,2
8ad3bdec,<*>precondition begin<*><*>,1
2705f177,<*>precondition end<*><*>,1
21e11a3a,mkdir cannot create directory '<*> File exists<*>,10
09a1a896,55 bytes of data.<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.27ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*> bytes from <*> icmp_seq<*><*> ttl<*><*> time<*><*>.<*> ms<*>,1
5c4021cc,Creating CPTS process.<*>,1
34eba875,patching args<*><*>,4
32ffcff4,Warning Telnet is not a secure protocol and it is recommended to use Stelnet.<*> <*>,2
4156e86b,ne900156<*>,1
43439814,Info The max number of VTY users is <*> the number of current VTY users online is <*> and total number of terminal users online is <*>.<*> The current login time is <*> <*> <*> <*>.<*>,1
4753e623,<*> <*> <*> <*> <*> <*> quit<*>,18
5ed41ece,[<*> <*> <*> <*>.<*>] <*> <*>] display clock<*>,4
b496d988,display clock<*> <*> <*> <*><*> Zone(DefaultZoneName) UTC<*>,2
c39ece12,[<*> <*> <*> <*>.<*>] <*> <*>] display version<*>,4
764ab33e,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> version <*> <*> <*> <*> <*> <*>,4
b0ca99ba,[<*> <*> <*> <*>.<*>] <*> <*>] display device<*>,2
267cf91b,display device<*> Device status <*> # Type Online Register Status Role Lsld Primary<*> LPU Present Registered Normal LC <*> NA<*> LPU Present Registered Normal LC <*> NA<*> LPU Present Registered Normal LC <*> NA<*> LPU Present Registered Normal MMB <*> Master<*>,1
5f9c519f,[<*> <*> <*> <*>.<*>] <*> <*>] display license<*>,2
af4c6b9a,display license<*> Lisense cfcard <*> state Demo<*> ticket No ticket<*> mode commom<*> name Item type Value Description<*> <*> <*> NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M)<*> Resource <*> NetEngine9000 500M Upgrade to 10G Port Enable RTU (per 500M)<*> <*> <*> <*> NetEngine9000 Virtual System Function License<*> Fuction Yes NetEngine9000 IP Performance Measure Licence (IP FPM)<*> name (View)Resource License Command<*>Line<*> (License)active port<*>I3vpn slot <slot<*>id> card <card<*>id> port <port<*>list><*> (Slot)I3vpn capacity enhance enable<*> (License)active port<*>I3vpn slot <slot<*>id> card <card<*>id> port <port<*>list><*> (License)active port<*>I3vpn slot <slot<*>id> card <card<*>id> port <port<*>list><*>,2
5e6a104c,[<*> <*> <*> <*>.<*>] <*> <*>] display patch verbose<*>,2
bdba6efe,display patch verbose<*> No patch exists.<*> current state is Idle<*> Info <*> PatchType Count<*> <*> <*><*>,2
d4124da9,[<*> <*> <*> <*>.<*>] <*> <*>] display module<*>information<*>,5
87c4404c,display module<*>information<*> Module<*>information<*> Version InstallTime PackageName<*> <*> <*> <*> <*> <*> V200R212SPH<*>NE9000_<*>_<*>_RM_CMS_mir.MOD<*> V200R212SPH013 <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> V200R212SPH<*>NE9000_<*>_<*>_RM_CMS_mir.MOD<*> <*>,2
c7ead575,[<*> <*> <*> <*>.<*>] <*> <*>] display startup<*>,2
25c02aad,display startup<*> <*> Configured startup sysytem software cfcard <*> startup sysytem software cfcard <*> Next startup sysytem software cfcard <*> Startup paf file default<*> Next Startup paf file default<*> Startup patch package NULL<*> Next Startup patch package NULL<*> <*> Configured startup sysytem software cfcard <*> startup sysytem software cfcard <*> Next startup sysytem software cfcard <*> Startup paf file default<*> Next Startup paf file default<*> Startup patch package NULL<*> Next Startup patch package NULL<*>,2
9535aa03,[<*> <*> <*> <*>.<*>] <*> <*>] system<*>,6
b69bb118,system<*> system view return view with return command.<*>,2
a325d201,[<*> <*> <*> <*>.<*>] <*> <*>] diagnose<*>,2
64f89adb,diagnose<*> Enter system view return view with return command.<*>,2
29eaf163,<*> <*> <*> <*> <*> <*> commit<*>,4
02b8bc08,<*> <*> <*> <*> <*> <*> display data<*>channel<*>,4
c4980b59,[<*> <*> <*> <*>.<*>] <*> <*>] display ptn<*>mode<*>,2
d17cfc6b,display ptn<*>mode<*> ^<*> command found at '^' position<*>,2
bb426aeb,[<*> <*> <*> <*>.<*>] <*> <*>] display vrcb<*>,2
57caca50,display vrcb<*> Version V900jiojhjo000<*> Version V900CPPo000<*> Version vist12.<*><*> Version VPP V900CPPo000<*> Version VPP V900CPPo000<*>,1
002df509,<*> <*> <*> <*> <*> <*> return<*>,8
8c1a5218,<*> <*> <*> <*> <*> <*> display slot <*> chipisolate state<*>,4
f1cf97e0,[<*> <*> <*> <*>.<*>] <*> <*>] display anti<*>theft status<*>,2
1cf90887,display anti<*>theft status<*> NP state<*> TM state<*>,2
d8f631a5,vrp_version <*> <*>,2
0af4ffbe,ne_type <*> <*>,2
c83db1f0,ipn <*> Router<*>,2
0bd563c5,[<*> <*> <*> <*>.<*>] <*> <*>] display access<*>user<*>,2
09bf71a9,display access<*>user<*> users <*><*> users <*><*> users <*><*> users <*><*> local users <*><*> remote users <*><*> ready <*><*> state <*><*>,2
3240582b,ERROR execute cmd '( <*> node <*>list <*>> <*> <*> grep RUNNING )' timedout.<*> STDOU<*> STDER<*>,2
7740a8ad,please set <*> and <*> manually<*>,2
f39b0ed8,<*> line <*> filename argument required<*>,2
30881201,nohup ignoring input<*>,2
de4de47e,Password for user@BIGDATA <*>,1
c9a81508,[<*> <*> <*> <*>.<*>] <*> <*>] display ipv6 prefix<*>,2
5e6b289b,display ipv6 prefix<*> ^<*> command found at '^' position<*>,2
e3514446,[<*> <*> <*> <*>.<*>] <*> <*>] display ip pool<*>,2
4330fb9a,display ip pool<*> address pool Statistic<*> <*> Remote <*> Server <*> <*> address Statistic<*> <*> Used <*> Ratio <*> <*>,2
2ab87142,<*> <*> <*> <*> <*> <*> cd<*>,4
d08ff68e,<*> <*> <*> <*> <*> <*> pwd<*>,4
91a1c38c,[<*> <*> <*> <*>.<*>] <*> <*>] system<*>view<*>,2
463b6ede,system<*>view<*> system view return command.<*>,2
8db1ddc6,[<*> <*> <*> <*>.<*>] <*> <*>] display commit list<*>,2
2f7dd89e,display commit list<*> commitID Label User TimeStamp<*> <*> _ ne900112 <*> <*> <*> <*><*> <*> _ ne900112 <*> <*> <*> <*><*> <*> _ ne900112 <*> <*> <*> <*><*> <*> va1 ne900112 <*> <*> <*> <*><*> <*> bbb ne900112 <*> <*> <*> <*><*> <*> commit_label ne900112 <*> <*> <*> <*><*> <*> <*> ne900112 <*> <*> <*> <*><*> <*>,2
2cb7bf92,Parsing conf <*>,8
e459e7c3,[<*> <*> <*> <*>.<*>] <*> <*>] dir <*>,2
a61bb58a,dir <*> of cfcard <*> Attr Size(Byte) Date Time FileName<*> <*>rw<*> <*> <*> April <*> <*> <*> <*> <*> <*> KB total (<*> <*> <*> KB free)<*>,2
2e8d3ec2,[<*> <*> <*> <*>.<*>] <*> <*>] clear configuration commit label begin_rollback<*>,2
358a91b1,clear configuration commit label begin_rollback<*> ^<*> command found at '^' position<*>,2
f539ecab,[<*> <*> <*> <*>.<*>] <*> <*>] rollback confuguration to file <*>,2
67d1c73c,Warning This operation will revert configuration changes to the file <*> Continue? [Y<*>,2
9284c881,[<*> <*> <*> <*>.<*>] <*> <*>] Y<*>,4
274d4f6b,Y<*> Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y<*>,4
23c9175a,[<*> <*> <*> <*>.<*>] <*> <*>] N<*>,2
8701a001,N<*> Some warnings or configuration dofferences occurred in the last rollback. Continue? [Y<*> rollback changes.<*> rollback result.<*> rollback finished but there are still several differences.<*> use 'display configuration rollback result' to view the differences.<*> use 'display configuration rollback result' to view the changes.<*>,2
170136c6,[<*> <*> <*> <*>.<*>] <*> <*>] display configuration rollback result<*>,2
68450b03,display configuration rollback result<*> are still several differences as follow <*> bbb<*> ne8809090 password hohuhu999<*> ne8809090 password hohuhu9999<*> #<*> license<*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> active network<*>slice flex<*>channel <*> slot <*><*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet5<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> interface GigabitEthernet4<*> undo dcn<*> #<*> domain default<*> #<*>,1
cb04f595,21<*> <*> <*> <*> INFO mapreduce.Job Job job_<*>_<*> running in uber mode <*><*>,2
338f2ed2,21<*> <*> <*> <*> INFO mapreduce.Job map <*>% reduce <*>%<*>,6
891e2ce2,21<*> <*> <*> <*> INFO mapreduce.Job Job job_<*>_<*> completed successfully<*>,2
