EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,311
8fadbdec,BLOCK* NameSystem.addStoredBlock blockMap updated <*> is added to <*> size <*>,314
46003790,Received block <*> of size <*> from /<*>,292
5961cf1c,Receiving block <*> src /<*> dest /<*>,292
5d8c5df5,BLOCK* NameSystem.allocateBlock <*> <*>,115
32777b38,Verification succeeded for <*>,20
dba996ef,Deleting block <*> file <*>,263
4dec0816,<*> Served block <*> to /<*>,80
a1d62776,<*> Got exception while serving <*> to /<*>,80
afaac693,BLOCK* NameSystem.delete <*> is added to invalidSet of <*>,224
40651754,<*> Starting thread to transfer block <*> to <*>,1
04137b95,BLOCK* ask <*> to delete <*>,5
35f3c1c8,Received block <*> src /<*> dest /<*> of size 67108864,2
728076ac,BLOCK* ask <*> to replicate <*> to datanode(s) <*>,1
