EventId,EventTemplate,Occurrences
93067dc4,onStandStepChanged <*>,260
8f787cab,<*> <*> <*> 0 <*>,162
4a92eb9e,<*> action android.intent.action.SCREEN_ON,34
b8f897f8,flush sensor data,17
5ffdf11c,getTodayTotalDetailSteps <*>,242
f492f53f,setTodayTotalDetailSteps <*>,241
567a996e,calculateCaloriesWithCache totalCalories <*>,241
a19aa487,calculateAltitudeWithCache totalAltitude 240,217
2b358f8a,REPORT 7007 5002 150089 240,1
b2d70ecf,REPORT 7008 5003 150111 240,1
1ffe4fc6,REPORT 7009 5004 150132 240,1
3b7a2665,REPORT 7011 5005 150175 240,1
605e5145,REPORT 7012 5006 150197 240,1
b1a715f4,REPORT <*> 5007 <*> 240,2
82090fa7,REPORT 7015 5008 150261 240,1
4939e0ea,onReceive action android.intent.action.SCREEN_OFF,17
1703b836,<*> true,3
cb1bca0a,screen status unknown think screen on,1
8bafd4e4,REPORT <*> 5010 <*> 240,3
53075a15,REPORT 7019 5011 150346 240,1
287c11e9,REPORT <*> 5012 <*> 240,2
6d9e54d1,REPORT 7022 5013 150411 240,1
771d7983,REPORT 7023 5014 150432 240,1
18f98051,REPORT <*> 5015 <*> 240,2
8c4b069a,REPORT 7026 5016 150496 240,1
5c37f611,REPORT <*> 5017 <*> 240,2
18c81606,REPORT 7029 5018 150561 240,1
7005a235,REPORT 7030 5019 150582 240,1
82d444f6,REPORT <*> 5020 <*> 240,2
2af04e36,REPORT 7033 5021 150646 240,1
8edb47c5,REPORT <*> 5022 <*> 240,2
cde9f049,REPORT 7036 5023 150711 240,1
a073e4e6,REPORT 7037 5024 150732 240,1
ab9edc7e,REPORT <*> 5025 <*> 240,2
acaa6a21,REPORT 7040 5026 150796 240,1
13ddddd7,REPORT <*> 5027 <*> 240,2
89754be1,REPORT 7044 5029 150882 240,1
61f91af3,REPORT 7045 5030 150903 240,1
910eaa16,REPORT 7047 5031 150946 240,1
2e596605,REPORT 7048 5032 150968 240,1
c96f53b0,REPORT 7050 5033 151011 240,1
acfd3753,REPORT <*> 5035 <*> 240,2
7f4d8019,processHandleBroadcastAction action android.intent.action.TIME_TICK,144
b4b6b01c,REPORT 7054 5036 151096 240,1
477efc1c,onExtend 1514038561000 0 0 0,1
abe6c47f,REPORT 7056 5037 151139 240,1
f3fabf07,REPORT 7058 5039 151182 240,1
62b3b952,REPORT 7060 5040 151225 240,1
a3b75033,REPORT 7062 5042 151268 240,1
c84b9405,REPORT 7064 5043 151310 240,1
0b2cd3c2,REPORT 7066 5045 151353 240,1
cf31326f,REPORT 7068 5046 151396 240,1
b0bc95df,REPORT 7070 5047 151439 240,1
6d5176c0,REPORT 7071 5048 151460 240,1
ea3e790e,REPORT 7074 5050 151525 240,1
bf53edd8,onExtend 1514038648000 0 0 0,1
779427cd,REPORT 7075 5051 151546 240,1
065bc4af,REPORT 7077 5052 151589 240,1
bf257975,REPORT 7079 5054 151632 240,1
4013648f,REPORT 7081 5055 151675 240,1
7b7d3d66,REPORT <*> 5057 <*> 240,2
14e6834f,REPORT 7086 5059 151782 240,1
057bcaaf,REPORT 7088 5060 151824 240,1
792e90f3,REPORT 7090 5062 151867 240,1
67739053,REPORT 7092 5063 151910 240,1
d9f789fa,REPORT <*> 5065 <*> 240,2
47384f87,REPORT 7097 5067 152017 240,1
c156d931,REPORT 7099 5068 152060 240,1
691b77e9,REPORT <*> 5070 <*> 240,2
20f1c023,REPORT 7103 5071 152146 240,1
cc3f0c58,REPORT <*> 5072 <*> 240,2
baefc4a3,REPORT 7106 5073 152210 240,1
c7645b8c,REPORT 7107 5074 152231 240,1
32fd5017,REPORT 7109 5075 152274 240,1
38bc872f,REPORT <*> 5077 <*> 240,2
d10b8c2b,REPORT 7113 5078 152360 240,1
28bef299,REPORT 7114 5079 152381 240,1
5fb615e6,onExtend 1514038686000 0 0 0,1
063d29e1,REPORT 7117 5081 152446 240,1
5ec486ee,REPORT 7122 5085 152553 240,1
561e1e75,REPORT 7124 5086 152596 240,1
e0f2e772,REPORT 7126 5087 152638 240,1
5f79fdce,REPORT 7128 5089 152681 240,1
dbff31ac,REPORT 7130 5090 152724 240,1
d26e8524,REPORT 7132 5092 152767 240,1
9d285cc5,REPORT 7135 5094 152831 240,1
18474d81,REPORT <*> 5097 <*> 240,2
f5ec68b4,REPORT 7154 5107 153238 240,1
562ef865,onExtend 1514038756000 0 0 0,1
35a8493d,REPORT 7160 5112 153367 240,1
0635a938,flushTempCacheToDB by stand,1
a323890f,Alarm uploadStaticsToDB totalSteps 7163Calories 153367Floor 240Distance 5112,1
0da159ce,writeDataToDB size 327,1
8f091f59,upLoadOneMinuteDataToEngine time <*> 0 <*> 0 20002,5
abda682b,getBinderPackageName packageName com.huawei.health,8
893a4f3f,getAppContext() isAppValid health or wear packageName com.huawei.health,2
d8b19cfd,insertHiHealthData() checkAppType 0 appID 1,2
aac7414a,insertHiHealthData() size <*> app 1 One Data Type <*> packageName com.huawei.health writeStatType 0,2
b5d8f32c,saveHealthDetailData() deviceID 2 clientID 1 id 1,2
1252792c,saveStatData() type <*> time 1513958400000 statClient 2 who is 1,4
8778e7bd,new date 20171223 type <*> <*> old <*>,17
e98e90a8,saveHealthDetailData() saveOneDetailData fail hiHealthData 1513958400000 type <*>,2
90ca6463,bulkSaveDetailHiHealthData() size <*> totalTime <*>,2
e08168d7,startListenerChange subscribeList [1],2
432654b8,insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode 4 errorMessage ERR_DATA_INSERT,1
a92b3128,insertHiHealthData() end totalTime <*>,2
472e1dbf,uploadStaticsToDB() onResult type 4 obj true,1
48a170b5,uploadStaticsToDB failed message true,1
c0df8ce6,checkInsertStatus <*> or <*> is enough,4
629a1b11,stepSyncOrNot appSynTimes is 0 <*>,5
7181eb84,startInsertSportSync start auto sync app is 1,2
e1fe025b,checkFirstSyncByType no such data in db type is 1 deviceCode is 0,2
7979a2cf,startInsertSportSync first 500 steps sync do all sync,2
ac2f6107,startSync hiSyncOption HiSyncOption{syncAction 2 syncMethod 2 syncScope 0 syncDataType 20000 syncModel 2 pushAction 0} app 1 who 1,5
6e805a4c,needAutoSync autoSyncSwitch is open,5
a4602c7d,initDataPrivacy the dataPrivacy <*> is <*>,10
684d9ff3,initUserPrivacy the userPrivacy <*> is <*>,10
3f9b4da2,ifCanSync not! no cloud version,5
8764d489,sendSyncFailedBroadcast,5
f8d9959c,saveRealTimeHealthDatasStat() size 1 totalTime 48,1
27f33a1c,InsertCallBack() onSuccess type 0 data true,1
4ce547ba,<*> <*> <*> <*> <*> 25233979,2
