EventId,EventTemplate,Occurrences
30881201,nohup ignoring input<*>,3
64ca1ffb,<*> Start obtain and cache Kerberos ticket<*>granting ticket <*><*>,3
58edc19e,Password for team7@BIGDATA <*>,3
457d0ad2,<*> Start execute hibench test <*><*>,3
57ba98a2,mkdir cannot create directory <*> File exists<*>,34
4f64db05,Start changing datasize ...<*>,3
370ddbe5,Creating <*> data ...<*>,5
34eba875,patching args<*><*>,32
2cb7bf92,Parsing conf <*>,128
64dce50b,probe sleep jar <*>,32
85e07766,ERROR execute cmd '( <*> node <*>list <*>> <*> <*> grep RUNNING )' timedout.<*> STDOU<*> STDER<*> Please check!<*>,1
bb05e6a0,"Traceback (most recent call last) <*> File ""<*> line <*> in <module><*> load_config(conf_root workload_configFile workload_folder patching_config)<*> File ""<*> line <*> in load_config<*> generate_optional_value()<*> File ""<*> line <*> in generate_optional_value<*> probe_masters_slaves_hostnames()<*> File ""<*> line <*> in probe_masters_slaves_hostnames<*> probe_masters_slaves_by_Yarn()<*> File ""<*> line <*> in probe_masters_slaves_by_Yarn<*> assert <*> ""Get workers from yarn<*>site.xml page failed reason %s\nplease set <*> and <*> manually"" % e<*> Get workers from yarn<*>site.xml page failed reason ( <*> node <*>list <*>> <*> <*> grep RUNNING ) executed timedout for <*> seconds<*>",1
7740a8ad,please set <*> and <*> manually<*>,1
9bcfb7fc,<*> line <*> . filename argument required<*>,1
9d29786a,start HadoopPrepareTerasort bench<*>,2
1e6c0489,hdfs rm <*>r <*> <*>config <*> fs <*>rm <*>r <*>skipTrash hdfs <*>,31
ab84931e,Deleted hdfs <*>,30
d9bfd3e9,Submit MapReduce Job <*> <*>config <*> jar <*> teragen <*>D <*> <*>D <*> <*>D <*> <*> hdfs <*>,2
b90b8028,22<*> <*> <*> <*> INFO <*> Connecting to Application History server at <*>,51
24ceeb34,22<*> <*> <*> <*> INFO <*> Created token for team7 HDFS_DELEGATION_TOKEN owner<*>team7@BIGDATA renewer<*>yarn realUser<*> issueDate<*><*> maxDate<*><*> sequenceNumber<*><*> masterKeyId<*><*> on ha<*>hdfs cuhkcluster<*>,44
5a8c1ed1,22<*> <*> <*> <*> INFO <*> Getting new token from http <*> renewer rm<*>,44
839fd495,22<*> <*> <*> <*> INFO <*> New token received (Kind kms<*>dt Service <*> Ident (kms<*>dt owner<*>team7 renewer<*>yarn realUser<*> issueDate<*><*> maxDate<*><*> sequenceNumber<*><*> masterKeyId<*><*>))<*>,44
