EventId,EventTemplate,Occurrences
c25cc5f9,IOThunderboltSwitch<0>(0x0) listenerCallback - Thunderbolt HPD packet for route 0x0 port <*> unplug 0,36
32d6acac,Thermal pressure state <*> Memory pressure state 0,39
bf6f5aee,FA||Url||taskID[2019352994] dealloc,1
8228c835,ARPT <*> AirPort_Brcm43xx syncPowerState WWEN[enabled],12
819a413c,ARPT <*> AirPort_Brcm43xx platformWoWEnable <*>,28
5ad46c1f,<*> Frequent transitions for interface awdl0 (FE80 0000 0000 0000 D8A5 90FF FEF5 7FFF),3
d22a11a1,ARPT <*> IOPMPowerSource Information <*> SleepType Normal Sleep 'ExternalConnected' <*> 'TimeRemaining' <*>,18
a6622136,ARPT <*> wl0 <*> <*> Seq <*> Ack <*> Win size 4096,14
9deb43f7,ARPT <*> ARPT Wake Reason Wake on Scan offload,9
6308042c,__73-[NetworkAnalyticsEngine observeValueForKeyPath ofObject change context ]_block_invoke unexpected switch value 2,16
a4767cd8,IO80211AWDLPeerManager setAwdlAutoMode Resuming AWDL,15
e4ce7749,ARPT <*> wl0 MDNS 0 SRV Recs 0 TXT Recs,9
71ed56f2,AppleCamIn systemWakeCall - messageType <*>,56
91eeaa24,setting hostname to <*>,7
ce2b0e13,<*> scheduler_evaluate_activity told me to run this job; however but the start time isn't for <*> seconds. Ignoring.,166
66c2744c,CCIOReporterFormatter addRegistryChildToChannelDictionary streams 7,7
1d4c7ced,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> host <*>,6
ec80718b,AirPort Link <*> on <*>,20
5915fdf3,PM response took <*> ms (54 powerd),9
15975b3c,ARPT <*> wl0 Roamed or switched channel reason #8 bssid 5c 50 15 <*> <*> <*> last RSSI <*>,2
e3370825,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,15
cfb4d076,IO80211AWDLPeerManager setAwdlSuspendedMode() Suspending AWDL enterQuietMode(true),11
a2a4d2de,network_reachability_changed network is not reachable netbiosd is shutting down,1
5c16703e,CCFile captureLogRun() Exiting CCFile captureLogRun,22
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,29
abca1de8,ARPT <*> wl0 MDNS IPV6 Addr <*> <*> <*> <*> c6b3 1ff fecd 467f,17
74ccb6be,Sandbox <*> deny(1) network-outbound /private/var/run/mDNSResponder,29
c910c040,AppleThunderboltGenericHAL earlyWake - complete - took <*> milliseconds,22
19f2e76d,<*> Frequent transitions for interface en0 <*>,6
6363d985,AppleThunderboltNHIType2 waitForOk2Go2Sx - retries <*>,11
90e20638,ARPT <*> wl0 wl_update_tcpkeep_seq Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,10
4d1c02bf,en0 IO80211Interface postMessage bssid changed,10
5f698052,AppleThunderboltNHIType2 waitForOk2Go2Sx - intel_rp 1 dlla_reporting_supported 0,6
bb8e78cb,AppleCamIn wakeEventHandlerThread,20
172b1ab5,ARPT <*> wl0 setup_keepalive Local port <*> Remote port <*>,8
